"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"Aarsd1",37,28,34,45
"Aasdh",93,83,73,114
"Aasdhppt",319,305,315,413
"Aass",37,34,39,41
"Aatf",220,154,165,221
"Aatk",2189,2095,2066,2096
"AB124611",10,4,5,1
"Abat",2511,2938,2813,2647
"Abca1",579,661,624,673
"Abca12",0,2,1,1
"Abca13",0,1,3,2
"Abca14",0,0,0,0
"Abca17",1,1,1,0
"Abca2",3743,3747,3424,4205
"Abca3",489,436,441,549
"Abca4",41,27,13,8
"Abca5",631,663,671,733
"Abca6",6,18,9,16
"Abca7",567,492,457,718
"Abca8a",28,47,36,41
"Abca8b",278,326,259,379
"Abca9",61,78,96,47
"Abcb10",198,257,201,220
"Abcb11",0,1,0,0
"Abcb1a",184,148,140,174
"Abcb1b",14,12,13,10
"Abcb4",11,17,13,19
"Abcb6",23,26,13,35
"Abcb7",448,513,567,574
"Abcb8",159,131,135,161
"Abcb9",159,126,146,163
"Abcc1",219,213,164,217
"Abcc10",111,100,90,163
"Abcc12",58,49,52,82
"Abcc2",5,4,3,7
"Abcc3",16,13,10,10
"Abcc4",36,46,39,46
"Abcc5",1203,1304,1269,1599
"Abcc6",6,4,1,4
"Abcc8",243,170,179,323
"Abcc9",41,30,35,44
"Abcd1",84,90,108,112
"Abcd2",658,614,704,837
"Abcd3",443,533,542,564
"Abcd4",105,93,108,132
"Abce1",563,580,597,824
"Abcf1",868,690,704,879
"Abcf2",574,522,438,666
"Abcf3",734,773,638,797
"Abcg1",838,753,717,982
"Abcg2",41,46,63,52
"Abcg3",3,1,2,2
"Abcg4",277,273,260,361
"Abcg5",0,0,0,0
"Abhd10",176,166,153,229
"Abhd11",86,78,64,67
"Abhd12",584,530,466,526
"Abhd12b",3,3,0,2
"Abhd13",646,667,708,801
"Abhd14a",60,65,62,79
"Abhd14b",105,85,88,118
"Abhd15",18,24,18,26
"Abhd16a",837,649,682,1114
"Abhd16b",0,2,0,3
"Abhd17a",362,315,353,378
