mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
PE2LINL_HSABCt,SPHINGStn,FAOXC13C11m,EX_CE5854_e
PEAR_HSABCt,SPHINGStg,FAOXC141C121m,EX_CE1926_e
PEDH203_HSABCt,EX_cmpacna_e,FAOXC141C121x,EX_udpgal_e
PELINL_HSABCt,DHCRMtg,FAOXC141C141OHm,EX_crm_hs_e
PELPALM_HSABCt,DHCRMter,FAOXC142C122m,EX_galside_hs_e
PEOLE_HSABCt,PHSPHINGStg,FAOXC142C122x,EX_CE0074_e
PEPALM_HSASBCt,PHSPHINGStr,FAOXC142C142OHm,EX_cdpea_e
PESTE_HSABCt,DM_sph1p_n,FAOXC143C123m,EX_12dgr120_e
AK2LGCHOLt,DM_sphs1p_n,FAOXC143C123x,EX_CE5853_e
DIGALSGALSIDEATPte,DM_gm1_hs_n,FAOXC140120m,EX_CE1925_e
PESTE_HSt1e,DM_6hddopaqn_c,FAOXC140120x,EX_C04849_e
SPHMYLN_HsATPte,GALSIDEter,FAOXC14C14OHm,CITt4_4
SPHMYLN180241_hs_ATPt,Rtotalter,FAOXC14DCC12DCx,GLYt7_311_r
SPHMYLN18114_hs_ATPt,Rtotaltg,FAOXC15ATPx,HCO3_NAt
SPHMYLN18115_hs_ATPt,DM_phsph1p_c,FAOXC15C13m,INSTt4_2
SPHMYLN18116_hs_ATPt,GD1Atg,FAOXC15NADPx,PIt8
SPHMYLN181161_hs_ATPt,GD1Atn,FAOXC15NADx,PIt9
SPHMYLN18117_hs_ATPt,ATPtg,FAOXC161C141m,HSD17B3r
SPHMYLN18118_hs_ATPt,GD1Btl,FAOXC161C141x,BIOMASS_reaction
SPHMYLN181181_hs_ATPt,GD3tlc,FAOXC161C161OHm,2MB2COAc
SPHMYLN18120_hs_ATPt,DM_pail35p_hs_n,FAOXC162C142m,3HBCOARc
SPHMYLN181201_hs_ATPt,CATr,FAOXC162C162OHm,ADPACDAc
SPHMYLN18121_hs_ATPt,DM_pcreat_c,FAOXC163C142x,ADPACTD
SPHMYLN18122_hs_ATPt,DM_15HPET_n,FAOXC163C143m,ADPCOACROT
SPHMYLN181221_hs_ATPt,DM_15HPET_x,FAOXC163C164Gm,ADPCOAPTE
SPHMYLN18123_hs_ATPt,DM_15HPET_r,FAOXC163C164x,BCRNe
SPHMYLN1824_hs_ATPt,EX_galgluside_hs_e,FAOXC163GC142m,C100CPT1
SPHMYLN1825_hs_ATPt,EX_ga1_hs_e,FAOXC163Gm,SK_c101coa_c
HPDECECOAm,EX_gm2_hs_e,FAOXC163x,C101CPT1
HPDECEm,HMR_0003,FAOXC164C143m,C101CRNe
HPDECEtm,BUTt,FAOXC164C143x,C102CPT1
HPDECEte,HMR_0188,FAOXC164C163x,C10CRNe
EX_hpdece_e,FACOAE120,FAOXC164C165m,C10DCCACT
C05769te,HMR_0192,FAOXC164C165x,C10DCc
SAMHISTAe,HMR_0193,FAOXC164GC163m,C10OHc
CE2006te,FACOAE140,FAOXC164m,C120CPT1
GLCRt1,HMR_0200,FAOXC164x,C121CPT1
2HYOXPLCte,HMR_0201,FAOXC165C164m,C12DCACOT
MHISTAte,HMR_0204,FAOXC165C164x,C12DCACT
MLTHFte,HMR_0206,FAOXC16Brx,C12DCTD
SELMETHte,HMR_0207,FAOXC160140m,C12DCe
CE7090te,HMR_0209,FAOXC16C16OHm,C12OHc
CE7085te,HMR_0210,FAOXC16DCC14DCx,TTDCPT1
CE7096te,HMR_0214,FAOXC16DCr,C141ACBP
CE4877te,FACOAE161,FAOXC170150m,C141CPT1
CE1447te,HMR_0233,FAOXC181C161m,C141OHc
C05769te3,HMR_0234,FAOXC181C161x,C141OHe
C05770te4,HMR_0238,FAOXC181C181OHm,C142ACBP
C05770te,HMR_0240,FAOXC182C162m,C142CPT1
CE2705t,HMR_0241,FAOXC182C182OHm,C142OHc
SPHS1Pt2e,HMR_0242,FAOXC183C163Gm,C142OHe
MLTHFte2,HMR_0243,FAOXC183C163m,C14OHc
HDD2CRNte2,HMR_0244,FAOXC184C163m,C161OHc
MLTHFte1,HMR_0245,FAOXC184C163x,C162ACBP
34DHOXMANDte,HMR_0246,FAOXC184C164m,C162OHc
CE6205te,HMR_0247,FAOXC184C164x,C162OHe
1A25DHVITD3te,HMR_0255,FAOXC184m,C16DCc
CE7081tr,HMR_0256,FAOXC184x,C16DCe
EX_34dhoxmand_e,FACOAL1812,FAOXC185C164m,C16OHc
EX_CE7090_e,HMR_0260,FAOXC185m,FA160COAabcp_1
EX_CE7085_e,HMR_0261,FAOXC18C18OHm,C181OHc
EX_CE7096_e,HMR_0267,FAOXC201C181x,C182OHc
EX_CE4877_e,HMR_0268,FAOXC204C184m,C18OHc
EX_CE1447_e,HMR_0271,FAOXC204C205x,ACRNtp
EX_CE2006_e,HMR_0272,FAOXC205C184x,C30CPT1
EX_CE6205_e,HMR_0276,FAOXC205C185m,C3DCe
EX_mhista_e,HMR_0278,FAOXC221C201x,C40CPT1
HDD2CRNte,HMR_0279,FAOXC225C204m,C4CRNCPT2
EX_CE2705_e,HMR_0280,FAOXC225C204x,C4DCCACT
SELMETHt2e,HMR_0289,FAOXC225C226m,C4OHc
EX_1a25dhvitd3_e,HMR_0290,FAOXC225C226x,C4tcx
UDPG4DOPA,HMR_0293,FAOXC225m,C4tmc
UDPG3DOPA,HMR_0297,FAOXC225x,C4x
TYRDOPOX,HMR_0298,FAOXC226C205m,C50CPT1
DOPA4GLCURt,HMR_0301,FAOXC226C225m,C51CPT1
EX_dopa4glcur_e,HMR_0302,FAOXC226C225x,C5DCe
DOPA3GLCURt,HMR_0305,FAOXC226C227m,C60CPT1
EX_dopa3glcur_e,HMR_0306,FAOXC226m,C6COAt
CE5026t,HMR_0309,FAOXC227C226m,C6CRNtcx
CE5025t,HMR_0310,FAOXC22OHC22r,C6DCCACT
EX_CE5025_e,HMR_0319,FAOXC3DC,C6DCc
ACER11r,HMR_0323,FAOXC4020m,C80CPT1
ACER12r,HMR_0324,FAOXC4C4DCc,SK_c81coa_c
ACER21g,HMR_0327,FAOXC5C3x,C81CPT1
ACER22g,HMR_0328,FAOXC5C5DCc,C81CRNe
ACER23g,HMR_0329,FAOXC5OHc,C8CRNe
ACER31r,ACChex,FAOXC61C4m,C8DCc
BGAL1e,HMR_0345,FAOXC61m,C9BRxtc
BGAL1l,HMR_0346,FAOXC61x,DCATDc
BGAL2l,FACOAE1839Z12Z15Z,FAOXC6C4m,DCATDr
BGAL3l,HMR_0354,FAOXC7C5m,DCSPTN1COAtxc
DES21,HMR_0358,FAOXC81C61m,SK_dd2coa_c
GA1tl,HMR_0362,FAOXC81C61x,DDCRNe
GLUSIDEtg,HMR_0366,FAOXC8C6m,DDECCRNe
HEXA2l,HMR_0370,FAOXC9C7m,DDECE1CRNe
HEXAHBl,HMR_0374,FAOXMC10OHMC10r,DECCRNe
NEU11l,HMR_0375,FAOXOHC16C16DCc,SK_decdicoa_c
NEU22,HMR_0378,FAOXOHC22C22DCc,DECDICRNe
NEU23,HMR_0380,FAOXOHMC10DC10c,DOCO13EFATP
NEU24,HMR_0381,FAOXTC101TC102m,DOCOSACT
NEU310e,HMR_0382,FAOXTC102C101m,DOCOSACTDr
NEU39e,HMR_0385,FAOXTC122TC101m,DOCOSADIACTD
SMSn,HMR_0386,FAOXTC122m,DOCOSCOAtxc
SPHK11,HMR_0388,FAOXTC142TC122m,DOCOSDIACTD
SPHMYLNtl2,HMR_0389,FAOXTC162TC142m,EX_3bcrn_e
SPMD3n,HMR_0390,FAOXTC182TC162m,EX_3ddcrn_e
TETTET6COAtm,HMR_0393,FOAXC122C101x,EX_3deccrn_e
TETPENT6COAtm,HMR_0394,GLUTCOAACBP,EX_3hdececrn_e
TETPENT3COAtm,HMR_0395,HDCACBP,EX_3hexdcrn_e
PCHOL_HStn,FACOAE1829Z12Z,HDDACBP,EX_3ivcrn_e
CHOLPtn,FACOAE1836Z9Z12Z,HDECAACBP,EX_3octdec2crn_e
PHCRMtg,HMR_0406,HDECEACBP,EX_3octdeccrn_e
PHCRMter,HMR_0410,HEDCECRNe,EX_3octdece1crn_e
SPHGNtg,HMR_0414,HEXCOAACBP,EX_3tdcrn_e
SPHINGStg,HMR_0418,HEXDCRNe,EX_3tetd7ecoacrn_e
DHCRMtg,HMR_0422,HEXDIACtr,EX_3thexddcoacrn_e
DHCRMter,HMR_0426,HEXDICOAACBP,EX_3ttetddcoacrn_e
PHSPHINGStg,HMR_0428,HEXDICOAACBPx,EX_c101crn_e
PHSPHINGStr,HMR_0429,HIVCACBP,EX_c10crn_e
GALSIDEter,HMR_0430,HOCDACBP,EX_c10dc_e
Rtotalter,HMR_0433,HOCTDACBP,EX_c12dc_e
Rtotaltg,HMR_0434,HOCTDEC2CRNe,EX_c16dc_e
DM_phsph1p_c,HMR_0437,HOCTDECCRNe,EX_c3dc_e
ATPtg,HMR_0438,HTDCACBP,EX_c4crn_e
GD1Btl,HMR_0467,IVCOAACBP,EX_c4dc_e
GD3tlc,G3PD2,IVCRNe,EX_c51crn_e
DM_pcreat_c,G3PD,LGNCCOAtcx_1,EX_c5dc_e
EX_CE5026_e,HMR_0582,NRVNCCOAtxc,EX_c6crn_e
HMR_0003,HMR_0586,OCD11COACPT1_1,EX_c6dc_e
HMR_0019,HMR_0587,OCD11CRNCACT,EX_c81crn_e
HMR_0020,HMR_0593,OCD11CRNCPT2_1,EX_c8crn_e
BUTt,HMR_0597,OCT11EFATP_1,EX_c8dc_e
HMR_0164,HMR_0598,OCTDEC2ACBP,EX_ddece1crn_e
HMR_0165,HMR_0601,OCTDECCACT,EX_ddeccrn_e
HMR_0166,HMR_0614,OCTDECCPT1,EX_decdicrn_e
HMR_0167,HMR_0625,OCTDECCPT2,EX_doco13ac_e
HMR_0168,HMR_0629,OCTDECE1CRNe,EX_docosac_e
HMR_0170,HMR_0634,SK_octdececoa_c,EX_docosdiac_e
HMR_0171,HMR_0641,OMHDEACIDTD,EX_ivcrn_e
HMR_0172,HMR_0642,OMHDOCOSACTD,EX_tetdec2crn_e
HMR_0176,HMR_0653,PRISTCOAtcx,EX_tetdece1crn_e
HMR_0183,HMR_0654,SBCOAACOTx,EX_dca_e
HMR_0184,HMR_0657,SCP21cx,FAOXC101C102m
HMR_0185,HMR_0672,SEBACACT,FAOXC101x
HMR_0188,HMR_0678,SEBACIDTD,FAOXC102C101m
FACOAE120,HMR_0753,SEBCOACROT,FAOXC102C101x
HMR_0191,HMR_0758,SEBCOAPET,FAOXC102C103x
HMR_0192,HMR_0761,STCOATxc,FAOXC102C81x
HMR_0193,HMR_0765,STRDNCCOAtxc,FAOXC102x
HMR_0194,HMR_0767,SUBEACTD,FAOXC103C102x
FACOAE140,HMR_0769,SUBERCACT,FAOXC11BRC9BRx
HMR_0200,HMR_0770,SUBERCROT,FAOXC121x
HMR_0203,SBPP3,SUBERICACT,FAOXC122x
HMR_0204,HMR_0793,SUCCCROT,FAOXC123C102x
HMR_0206,HMR_0795,SUCCOAPET,FAOXC123x
HMR_0207,HMR_0803,TIGCRNe,FAOXC12DCTc
HMR_0208,HMR_0805,34DHPHELAT1tc,FAOXC12DCc
HMR_0209,HMR_0806,4OHPROIMINOtc,FAOXC12DCx
HMR_0210,HMR_0807,ALAALACNc,FAOXC13BRC11BRx
HMR_0211,HMR_0808,ALAALAPEPT1tc,FAOXC141C141OHm
HMR_0214,HMR_0809,ALAyLATthc,FAOXC142C122x
FACOAE161,HMR_0810,ASCBSVCTtc,FAOXC142C142OHm
HMR_0232,HMR_0811,BALABETAtc,FAOXC143C123x
HMR_0233,HMR_0812,BALAt2r,FAOXC14C14OHm
HMR_0234,HMR_0814,CYSSNAT5tc,FAOXC14DCC12DCx
HMR_0235,HMR_0815,FOLt,FAOXC15ATPx
HMR_0238,HMR_0816,GLNyLATthc,FAOXC161C141m
HMR_0240,HMR_0817,GLYGLYCNc,FAOXC161C161OHm
HMR_0241,HMR_0819,GLYGLYPEPT1tc,FAOXC162C162OHm
HMR_0242,HMR_0820,GLYPROPEPT1tc,FAOXC163C142x
HMR_0243,HMR_0821,GLYSARCNc,FAOXC163C164x
HMR_0244,HMR_0822,GLYSNAT5tc,FAOXC163x
HMR_0245,HMR_0823,HISSNAT5tc,FAOXC164C143x
HMR_0246,HMR_0824,HISyLATtc,FAOXC164C163x
HMR_0247,HMR_0825,HISyLATthc,FAOXC164C165x
HMR_0254,HMR_0827,LEULEULAPc,FAOXC164x
HMR_0255,HMR_0828,LEULEUPEPT1tc,FAOXC165C164x
HMR_0256,HMR_0829,LEUyLAThtc,FAOXC16Brx
HMR_0257,HMR_0830,LINOFATPtc,FAOXC16C16OHm
FACOAL1812,HMR_0831,METyLATthc,FAOXC16DCC14DCx
HMR_0260,HMR_0835,OCDEAFABP1tc,FAOXC16DCr
HMR_0261,HMR_0836,OLEICFATPtc,FAOXC16OHC16r
HMR_0267,HMR_0837,PALFATPtc,FAOXC181C181OHm
HMR_0268,HMR_0839,PEHSFABPe,FAOXC182C182OHm
HMR_0270,HMR_0841,PHEyLATthc,FAOXC183C163m
HMR_0271,HMR_0842,PMTCOAFABP1tc_1,FAOXC184C163x
HMR_0272,HMR_0843,PNTOte,FAOXC184C164x
HMR_0273,HMR_0844,PROGLYPEPT1tc,FAOXC184x
HMR_0278,HMR_0846,AMPTASEPG,FAOXC18C18OHm
HMR_0279,HMR_0847,TAUBETAtc,FAOXC204C205x
HMR_0288,HMR_0848,TAUPAT1c,FAOXC205C184x
HMR_0289,HMR_0849,VITEtl,FAOXC225C204x
HMR_0290,HMR_0851,1a25DHVITD3TRn,FAOXC225C226x
HMR_0291,HMR_0852,3HCO3_NAt,FAOXC225x
HMR_0292,HMR_0853,4HPROLTASCT1,FAOXC226C205m
HMR_0293,HMR_0854,ASPDTDe,FAOXC226C225x
HMR_0296,HMR_0855,ASPPROASCT1,FAOXC226C227m
HMR_0297,HMR_0859,ASPte,FAOXC226m
HMR_0298,HMR_0860,BTNt3i,FAOXC227C226m
HMR_0299,HMR_0864,CHOLESACATc_1,FAOXC22C22DCHYr
HMR_0300,HMR_0867,CHOLESTle_1,FAOXC22OHC22r
HMR_0301,HMR_0870,CHSTEROLtrc,FAOXC3DC
HMR_0302,HMR_0875,CRNtp,FAOXC4C4DCc
HMR_0303,HMR_0876,Coqe,FAOXC5C5DCc
HMR_0304,HMR_0877,DGTPtm_cho,FAOXC5C5OHm
HMR_0305,HMR_0878,DHAPtm,FAOXC5OHc
HMR_0306,HMR_0889,DM_1a25dhvitd3_n,FAOXC61x
HMR_0307,HMR_0890,DM_taur_c,FAOXC81C61x
HMR_0308,HMR_0906,DPMVD,FAOXC8C6m
HMR_0309,HMR_0907,DSREDUCr,FAOXMC10OHMC10r
HMR_0310,HMR_0908,DTMPKm,FAOXOHC22C22DCc
HMR_0311,HMR_0909,EX_4hpro_LT_e,FAOXOHMC10DC10c
HMR_0319,HMR_0910,EX_alaala_e,FAOXTC162TC142m
HMR_0321,HMR_0911,EX_glygly_e,FAOXTC182TC162m
HMR_0322,HMR_0912,EX_leuleu_e,FOAXC122C101x
HMR_0323,HMR_0913,EX_fmn_e,GLUTCOAACBP
HMR_0324,HMR_0942,EX_oh1_e,HDCACBP
HMR_0325,HMR_0946,EX_q10_e,HDDACBP
HMR_0326,HMR_0950,EX_q10h2_e,HDECAACBP
HMR_0327,HMR_0954,FADDPle,HDECEACBP
HMR_0328,HMR_0960,FADH2ETC,HEDCECRNe
HMR_0329,HMR_0962,FE2DMT1,HEXCOAACBP
HMR_0344,HMR_0963,FE3t,HEXDCRNe
HMR_0345,HMR_0979,ACP1e,HEXDIACtr
HMR_0346,HMR_0981,FRDPtcr,HEXDICOAACBP
HMR_0347,HMR_0984,G6PDH2c,HEXDICOAACBPx
HMR_0354,HMR_0985,GLUPROASCT1,HIVCACBP
HMR_0380,HMR_0986,G3PDm,HIVCRNe
HMR_0381,HMR_0987,GNDc,HOCDACBP
HMR_0382,HMR_1081,INSK,HOCTDACBP
HMR_0383,HMR_1084,IPDDI,HOCTDEC2CRNe
HMR_0384,HMR_1095,LACLt,HOCTDECCRNe
HMR_0385,HMR_1102,MEVK1,HTDCACBP
HMR_0386,HMR_1104,MTHFR3,HTDCRNe
HMR_0387,HMR_1126,NADtm,IVCOAACBP
HMR_0388,HMR_1127,P5CR,IVCRNe
HMR_0389,HMR_1129,PGLc,LGNCCOAtcx_1
HMR_0390,HMR_1135,PHEMEt,NRVNCCOAtxc
HMR_0391,HMR_1242,PMEVK,OCD11COACPT1_1
HMR_0392,HMR_1243,PNTOt5,OCD11CRNCACT
HMR_0393,HMR_1280,PPItm,OCD11CRNCPT2_1
HMR_0394,HMR_1283,PTRCtex2,OCT11EFATP_1
HMR_0395,HMR_1284,Q10H2e,OCTDEC2ACBP
FACOAE1829Z12Z,HMR_1305,RPEc,OCTDECCACT
FACOAE1836Z9Z12Z,HMR_1307,RTOTAL2FATPc,OCTDECCPT1
HMR_0410,PGESc,RTOTALFATPc,OCTDECCPT2
HMR_0428,HMR_1321,SK_5HPET_c,OCTDECE1CRNe
HMR_0429,HMR_1329,q10h2tc,SK_octdececoa_c
HMR_0430,HMR_1331,q10tm,OMHDEACIDTD
HMR_0431,HMR_1388,34HPPte,OMHDOCOSACTD
HMR_0432,HMR_1390,4HPRO_LTte,OMHPALTD
HMR_0433,HMR_1392,5MTAte,SBCOAACOTx
HMR_0434,HMR_1465,AICARte,SEBACACT
HMR_0435,SMO,CBASPte,SEBACIDTD
HMR_0436,LNSTLS,DM_4hpro_LT_m,SEBCOACROT
HMR_0437,HMR_1477,DM_Lcystin_c,SEBCOAPET
HMR_0438,HMR_1478,DM_fol_c,STCOATxc
HMR_0439,HMR_1479,EX_34hpp_e,STRDNCCOAtxc
HMR_0469,HMR_1490,EX_5mta_e,SUBEACTD
G3PD2,HMR_1493,EX_ahcys_e,SUBERCACT
G3PD,HMR_1494,EX_aicar_e,SUBERCROT
HMR_0582,HMR_1495,EX_cbasp_e,SUBERICACT
HMR_0586,C3STDH1,OROTGLUt,SUCCCROT
HMR_0587,HMR_1502,IDOURte,SUCCOAPET
HMR_0593,HMR_1503,EX_idour_e,SK_tetdec2coa_c
HMR_0597,HMR_1504,5HOXINDOAtr,TETDEC2CRNe
HMR_0598,HMR_1505,LKYNRtr,SK_tetdece1coa_c
HMR_0601,HMR_1509,LKYNRtr2,TETDECE1CRNe
HMR_0614,CHLSTI_1,CALAtr,TIGCRNe
HMR_0625,HMR_1516,CRTNtr,4OHPROIMINOtc
HMR_0629,DSMSTOLR,KYNATEtr,ALAALACNc
HMR_0634,HMR_1532,HKYNRtr,ALAALAPEPT1tc
HMR_0642,HMR_1536,QULNtr,ALAATB0tc
HMR_0672,HMR_1538,CHOLPtr,ALAyLATthc
HMR_0678,HMR_1539,CYST_Ltr,ARGATB0tc
HMR_0753,HMR_1540,DCMPtr,ASCBSVCTtc
HMR_0758,HMR_1543,ETHAMPtr,ASNATB0tc
HMR_0765,HMR_1544,G3PCt,BALABETAtc
HMR_0767,HMR_1545,GLCURtr,BALAt2r
HMR_0770,HMR_1546,L2AADPtr,CARPEPT1tc
SBPP3,HMR_1547,UDPGLCURtr,CYSATB0tc
HMR_0793,HMR_1548,OROT5Ptr,CYSSNAT5tc
HMR_0795,HMR_1549,EX_5hoxindoa_e,CYSTALArBATtc
HMR_0805,HMR_1550,EX_cala_e,CYSTLEUrBATtc
HMR_0806,HMR_1551,EX_cholp_e,FOLt
HMR_0807,HMR_1552,EX_cyst__L_e,GALSGLT1le
HMR_0808,HMR_1557,EX_dcmp_e,GLCSGLT1le
HMR_0809,LTHSTRLOR,EX_ethamp_e,GLNATB0tc
HMR_0810,HMR_1565,EX_g3pc_e,GLNyLATthc
HMR_0811,HMR_1620,EX_kynate_e,GLYGLYCNc
HMR_0812,HMR_1627,EX_L2aadp_e,GLYGLYPEPT1tc
HMR_0814,HMR_1630,EX_Lkynr_e,GLYPHEPEPT1tc
HMR_0817,HMR_1631,EX_udpglcur_e,GLYPROPEPT1tc
HMR_0819,HMR_1637,EX_hLkynr_e,GLYSARCNc
HMR_0820,HMR_1651,EX_orot5p_e,GLYSARPEPT1tc
HMR_0821,HMR_1653,ALAPAT4te,GLYSNAT5tc
HMR_0822,HMR_1665,ARACHDFATPtc,HISSNAT5tc
HMR_0823,HMR_1666,BETBGTtc,HISyLATtc
HMR_0824,HMR_1681,DHEASABCCte,HISyLATthc
HMR_0828,HMR_1685,DOPAENT4tc,HPETFABP1tc
HMR_0830,HMR_1706,ESTRAABCtc,ILEATB0tc
HMR_0831,HMR_1735,ESTROSABCCte,LEUATB0tc
HMR_0835,HMR_1737,ESTRSABCtc,LEUGLYPEPT1tc
HMR_0836,HMR_1738,FOLABCCte,LEULEUPEPT1tc
HMR_0839,HMR_1739,FOLOAT1tc,LEUyLAThtc
HMR_0841,HMR_1740,FOLOAT2tc,LYSATB0tc
HMR_0843,HMR_1741,FOLOATPtc,METATB0tc
HMR_0846,HMR_1742,GABABGTtc,METyLATthc
HMR_0847,HMR_1743,H2OGLYAQPt,NACHORCTL3le
HMR_0849,HMR_1744,LEUKABCtc,OCDEAFABP1tc
HMR_0851,HMR_1745,LGNCFATPtc,ORNALArBATtc
HMR_0852,HMR_1746,NACSMCTte,ORNLEUrBATtc
HMR_0853,HMR_1747,PGLYCABCte,PEHSFABPe
HMR_0854,HMR_1748,PHEMEABCte,PHEATB0tc
HMR_0855,HMR_1749,PROPAT4te,PHEyLATthc
HMR_0859,HMR_1750,PSHSABCtc,PMTCOAFABP1tc_1
HMR_0875,HMR_1751,RETABCtc,PROGLYPEPT1tc
HMR_0876,HMR_1752,SRTNENT4tc,PROIMINOtc
HMR_0877,HMR_1753,TCHOLABCtc,SERATB0tc
HMR_0878,HMR_1754,CAMPt,TAUBETAtc
HMR_0889,HMR_1756,CGMPt,TAUPAT1c
HMR_0890,HMR_1758,GALt4,THRATB0tc
HMR_0911,HMR_1759,GLCt4,TRPATB0tc
HMR_0912,HMR_1760,TRPt,TYRATB0tc
HMR_0913,HMR_1761,Kt1,VALATB0tc
HMR_0960,HMR_1762,CHSTEROLt,VITEtl
HMR_0962,HMR_1764,RETt,1a25DHVITD3TRn
HMR_0963,HMR_1765,AVITE1t,25HVITD3c
HMR_0981,HMR_1807,r0963,3HCO3_NAt
HMR_1084,HMR_1927,GLYCLm,4HPROLTASCT1
HMR_1095,HMR_1928,ACRNte,ADNt5
HMR_1102,HMR_1929,PCRNte,ASPPROASCT1
HMR_1104,HMR_1944,LNELDCCRNte,BIDGLCURr
HMR_1126,HMR_1958,ODECRNte,BTNt3i
HMR_1127,HMR_1962,STCRNte,CHOLESACATc_1
HMR_1129,HMR_1968,PMTCRNte,CHOLESTle_1
HMR_1135,HMR_1971,HDCECRNte,CYTDt5
HMR_1242,HMR_1976,EX_acrn_e,Coqe
HMR_1243,HMR_1996,EX_pcrn_e,DM_1a25dhvitd3_n
HMR_1280,HMR_2014,EX_lneldccrn_e,DM_4abut_n
HMR_1283,HMR_2029,EX_odecrn_e,DM_5HPET_r
HMR_1284,HMR_2041,EX_stcrn_e,DM_taur_c
HMR_1305,HMR_2087,EX_hdcecrn_e,DM_pe_hs_r
HMR_1307,HMR_2088,15KPROSTGF2c,DM_pmtcoa_r
PGESc,HMR_2089,AND19ONEc,DPMVD
HMR_1315,HMR_2090,C14825c,EX_4hpro_LT_e
HMR_1316,HMR_2190,DESAT14_9,EX_alaala_e
HMR_1317,HMR_2193,LCAT10e,EX_bglc_e
HMR_1321,HMR_2210,LCAT11e,EX_carn_e
HMR_1331,HMR_2211,LCAT12e,EX_dchac_e
HMR_1332,HMR_2215,LCAT13e,EX_glgchlo_e
HMR_1390,HMR_2217,LCAT14e,EX_gltcho_e
HMR_1392,HMR_2218,LCAT54e,EX_gltdechol_e
HMR_1532,HMR_2219,LCAT55e,EX_glygly_e
HMR_1565,HMR_2259,LCAT15e,EX_glysar_e
HMR_1627,HMR_2260,LCAT16e,EX_gum_e
HMR_1630,HMR_2261,LCAT17e,EX_gumdchac_e
HMR_1637,HMR_2262,LCAT18e,EX_gumgchol_e
HMR_1651,HMR_2263,LCAT19e,EX_gumtchol_e
HMR_1653,HMR_2264,LCAT20e,EX_leugly_e
HMR_1665,HMR_2265,LCAT21e,EX_leuleu_e
HMR_1681,HMR_2266,LCAT22e,EX_pect_e
HMR_1706,HMR_2267,LCAT23e,EX_pectindchac_e
HMR_1735,HMR_2268,LCAT25e,EX_pectingchol_e
HMR_1737,HMR_2269,LCAT27e,EX_pectintchol_e
HMR_1738,HMR_2270,LCAT29e,EX_psyl_e
HMR_1739,HMR_2281,LCAT2e,EX_psylchol_e
HMR_1740,HMR_2282,LCAT30e,EX_psyltchol_e
HMR_1741,HMR_2284,LCAT31e,EX_psyltdechol_e
HMR_1742,DESAT16,LCAT32e,EX_slfcys_e
HMR_1743,HMR_2287,LCAT33e,EX_tdechola_e
HMR_1744,HMR_2288,LCAT34e,EX_cysam_e
HMR_1745,HMR_2289,LCAT35e,EX_dpcoa_e
HMR_1746,HMR_2292,LCAT36e,EX_fmn_e
HMR_1747,HMR_2293,LCAT37e,EX_hyptaur_e
HMR_1748,DESAT18,LCAT38e,EX_oh1_e
HMR_1749,HMR_2295,LCAT39e,EX_pan4p_e
HMR_1750,HMR_2296,LCAT3e,EX_ptth_e
HMR_1751,HMR_2332,LCAT40e,EX_q10_e
HMR_1752,HMR_2334,LCAT41e,EX_q10h2_e
HMR_1753,HMR_2336,LCAT42e,FADDPle
HMR_1754,HMR_2338,LCAT43e,ACP1e
HMR_1756,HMR_2342,LCAT44e,FRDPtcr
HMR_1758,HMR_2343,LCAT45e,GLUPROASCT1
HMR_1759,HMR_2344,LCAT56e,GNDc
HMR_1760,HMR_2345,LCAT46e,GSNt5
HMR_1761,HMR_2347,LCAT47e,INSt5
HMR_1897,HMR_2348,LCAT48e,IPDDI
HMR_1927,HMR_2349,LCAT49e,LACLt
HMR_1928,HMR_2350,LCAT4e,LEUGLYHYc
HMR_1929,HMR_2353,LCAT50e,MEVK1
HMR_1968,HMR_2354,LCAT51e,MTHFR3
HMR_1971,HMR_2355,LCAT52e,NADtm
HMR_1976,HMR_2356,LCAT53e,P5CR
HMR_2041,HMR_2359,LCAT57e,PGLc
HMR_2190,HMR_2361,LCAT5e,PMEVK
HMR_2193,HMR_2362,LCAT6e,PNTOt5
HMR_2210,HMR_2363,LCAT7e,PRO_Dtde
HMR_2211,HMR_2364,LCAT8e,RPEc
HMR_2215,HMR_2365,LCAT9e,SK_5HPET_c
HMR_2217,HMR_2368,SMS1,SPRMti
HMR_2218,HMR_2374,SMS10,THMDt5
HMR_2219,HMR_2376,SMS11,URIt5
HMR_2259,HMR_2380,SMS12,q10tm
HMR_2260,HMR_2391,SMS16,3MOBte
HMR_2261,HMR_2395,SMS13,4MOPte
HMR_2262,HMR_2433,SMS14,DM_4hpro_LT_m
HMR_2263,HMR_2434,SMS15,DM_Lcystin_c
HMR_2264,HMR_2435,SMS2,DM_anth_c
HMR_2265,HMR_2436,SMS3,DM_fol_c
HMR_2266,HMR_2440,SMS4,DM_ncam_c
HMR_2267,HMR_2457,SMS5,DM_pnto__R_c
HMR_2268,HMR_2472,SMS6,EX_34hpp_e
HMR_2269,HMR_2484,SMS7,EX_3mob_e
HMR_2270,HMR_2495,SMS8,EX_3mop_e
HMR_2284,HMR_2530,SMS9,EX_4mop_e
HMR_2288,HMR_2533,XOLEST183CEH,EX_5mta_e
HMR_2289,HMR_2535,XOLEST182CEH,EX_5oxpro_e
HMR_2293,HMR_2537,XOLEST205CEH,EX_ahcys_e
