mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
4abutn[c],malt[c],g1p_c,ksi_deg41[l]
retinal_11[c]is[c],normete_[l][c],gullac_c,ksii_core2_deg2[l]
retinal[c]is_9[c],3mgcoa[m],glucys_c,ksii_core2_deg3[l]
ru5p__D[c],malcoa[x],forglu_c,ksii_core2_deg5[l]
13[c]is_retnglc[c],mercplac[c],5forthf_c,ksii_core2_deg6[l]
13[c]is_retnglc[r],mercplaccys[c],glx_c,ksii_core2_deg8[l]
retn[r],tcynt[c],glyb_e,ksii_core2_deg9[l]
13[c]is_retn[r],5mdru1p[c],glyc3p_m,core6[l]
ribflv[e],mescon[m],glyc__R_c,l2n2m2mn[l]
Rtotal3crn[c],mescoa[m],2pg_c,ksii_core4_deg2[l]
Rtotal3crn[m],meoh[c],glyclt_c,ksii_core4_deg3[l]
cs_d_pre5[g],mepi[c],glyc__S_c,ksi_deg5[l]
cs_b_pre5[g],met_[l][e],glyc_c,ksi_deg6[l]
hs_pre12[g],mev__R[x],glyc_m,ksi_deg8[l]
hs_pre13[g],5pmev[x],lgt__S_m,ksi_deg9[l]
hs_pre14[g],mhista[c],gthrd_m,ksi_deg11[l]
hs_pre15[g],mi1345p[c],gmp_n,ksi_deg12[l]
hs_deg11[l],mi134p[c],6pgc_r,ksi_deg14[l]
cs[e]_pre5a[g],mi34p[c],ru5p__D_r,ksi_deg15[l]
cs[e]_deg1[l],mi1p__D[c],sarcs_c,ksi_deg17[l]
cs[e]_deg5[l],mi145p[c],gp1calpha_hs_c,ksi_deg18[l]
ksi_deg4[l],mi14p[c],gp1calpha_hs_g,ksi_deg20[l]
ksii[c]ore2_deg1[l],mi4p__D[c],gp1c_hs_c,ksi_deg21[l]
ksii[c]ore4_deg1[l],mi14p[n],gp1c_hs_g,ksi_deg23[l]
saccrp_[l][m],mi1p__D[n],em2emgacpail_prot_hs_r,ksi_deg24[l]
sph1p[r],mi3p__D[c],hdca_r,galfuc12gal14acglcgalgluside_hs[c]
sphgn[r],minohp[c],gpi_prot_hs_r,galfucgalacglcgal14acglcgalgluside_hs[c]
sphs1p[r],minohp[n],mgacpail_hs_r,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[c]
sphings[r],malttr[c],gq1balpha_hs_c,galgalgalthcrm_hs[c]
sbt__D[c],malttr[e],gq1balpha_hs_g,galgluside_hs[l]
ser__D[e],malttr[l],gq1b_hs_c,gm3_hs[g]
ser__D[c],mmcoa__S[m],gq1b_hs_g,gd3_hs[g]
acngalgbside_hs[g],mmcoa__R[m],gsn_c,gt3_hs[g]
sph1p[c],5mta[c],gsn_l,cs_hs_linkage[g]
sphmyln_hs[g],5mdr1p[c],gt1a_hs_c,cs_pre[g]
sphmyln_hs[l],methf[m],gt1a_hs_g,cs_a_b_pre2[g]
sphings[c],4aabutn[c],gthox_m,cs_a_b_pre3[g]
sphmyln_hs[c],Nacasp[c],gthrd_r,cs_c_pre2[g]
sphs1p[c],ksi_deg7[l],gua_c,cs_c_pre3[g]
spmd[c],ksi_deg10[l],xan_c,cs_d_pre3[g]
sql[r],ksi_deg13[l],pe_hs_r,cs_d_pre4[g]
gm1b_hs[g],ksi_deg16[l],emgacpail_hs_r,cs_e_pre3[g]
gd1a_hs[g],ksi_deg19[l],m2gacpail_hs_r,cs_e_pre4[g]
gt1b_hs[g],ksi_deg22[l],h2o2_l,Ser_Thr[g]
gq1c_hs[g],ksi_deg25[l],h2o2_n,gal[c]
strdnccrn[c],ksi_deg28[l],m3gacpail_hs_r,galt[c]
strdnccrn[m],ksi_deg31[l],em3gacpail_hs_r,galside_hs[c]
succ[e],ksi_deg34[l],emem2gacpail_hs_r,gal[e]
taur[e],cs_a_deg1[l],em2emgacpail_hs_r,lxser[g]
tchola[c],ksi_deg37[l],m3emgacpail_hs_r,l2xser[g]
tcynt[m],ksii[c]ore2_deg4[l],gpi_hs_r,xser[g]
tetpent3crn[c],ksii[c]ore2_deg7[l],mem2emgacpail_hs_r,gam[e]
tetpent3crn[m],ksii[c]ore4_deg4[l],pre_prot_r,gam[c]
tetpent3coa[m],cs_a_deg4[l],uacgam_c,malt[e]
tetpent6crn[c],cs_b_deg1[l],udpglcur_c,gd3_hs[c]
tetpent6crn[m],cs_b_deg2[l],hdcea_c,oagd3_hs[c]
tetpent6coa[m],cs[c]_deg1[l],hestratriol_c,oagd3_hs[g]
tettet6crn[c],cs[c]_deg4[l],hestratriol_r,gt3_hs[c]
tettet6crn[m],cs_d_deg1[l],man_c,oagt3_hs[c]
tettet6coa[m],cs_d_deg2[l],4mlacac_c,oagt3_hs[g]
thcholstoic[x],cs_d_deg5[l],his__L_c,gar[c]
thymd[e],cs_d_deg6[l],hista_c,fgam[c]
thymd[c],cs[e]_deg2[l],his__L_e,n2m2nmasn[l]
thm[c],cs[e]_deg6[l],im4act_c,glc__D[c]
tmlys[c],ncam[c],hmgcoa_c,gluside_hs[l]
tmndnccrn[c],nad[n],aacoa_c,glc__D[l]
tmndnccrn[m],Tn_antigen[l],hmgcoa_m,gbside_hs[c]
trdox[c],udp[l],hmgcoa_x,gbside_hs[l]
trdrd[c],udpacgal[l],hom__L_c,gcald[m]
q10[c],na1[x],pheme_c,glyclt[m]
q10h2[c],carn[c],phyt2ohcoa_x,lpam[m]
trp_[l][e],udp[r],pristanal_x,dhlam[m]
tststeroneglc[c],ump[r],hpdcacrn_c,mlthf[m]
tststeroneglc[r],pi[g],hpdcacrn_m,gchola[c]
tststerone[c],ump[g],hpyr_c,gd1b2_hs[c]
ttdcrn[m],nicrns[c],hpyr_m,gd1b2_hs[g]
ttdcrn[c],nicrnt[c],hs_deg1_l,gd1c_hs[c]
txa2[r],nicrnt[n],hs_deg2_l,gd1c_hs[g]
tym[c],nmn[n],hs_deg6_l,gmp[g]
tyr_[l][e],nmn[c],hs_deg7_l,gmp[c]
udpacgal[c],prpp[c],hs_deg12_l,gdpddman[c]
ump[c],nwharg[c],hs_deg13_l,glu__L[l]
udpglcur[r],no[c],hs_deg18_l,thf[l]
udpg[r],r1p[c],hs_deg19_l,5oxpro[c]
udpxyl[r],nrpphrsf[c],cortsn_r,Tyr_ggn[c]
ump[n],sT_antigen[g],andrstndn_r,udpg[c]
urate[c],dimp[c],tststerone_r,ggn[c]
urea[e],uri[e],nadph_x,ttc_ggdp[c]
urea[c],ump[l],nadp_x,leuktrC4[r]
val_[l][e],uri[l],cholcoaone_x,glu__L[r]
val_[l][c],cmp[l],eandrstrn_r,leuktrD4[r]
xolest2_hs[c],dtmp[l],andrstandn_r,leuktrE4[c]
xoltri24[c],thymd[l],prgnlone_c,leuktrF4[c]
xser[r],dtmp[m],17ahprgnlone_c,ser__L[m]
xu5p__D[c],thymd[m],17ahprgstrn_c,3htmelys[c]
xylt[c],amp[l],xol7a_r,4tmeabut[c]
Ser[g]ly_Ala[x][g]ly[r],gmp[l],xol7aone_r,glac[c]
xyl__D[c],o2s[m],hspg_l,glcr[c]
acmana[e],o2s[n],hs_l,glygn1[c]
dgmp[e],o2s[x],hspg_g,glygn2[c]
dgtp[e],o2[n],hxan_c,hs_deg9[l]
fad[e],succ[m],hxan_x,glcur[l]
HC01440[e],retn[c],pyam5p_c,hs_deg10[l]
HC01441[e],orn[e],pydam_c,cs_a_deg2[l]
HC01446[e],orot5p[c],taur_c,cs_a_deg3[l]
HC01577[e],prgnlone[m],icit_c,cs_c_deg2[l]
HC01700[e],xoltriol[m],icit_x,cs_c_deg3[l]
HC02160[e],xoltetrol[m],triodthy_c,cs_d_deg3[l]
HC02161[e],thcholst[m],thyox__L_c,cs_d_deg4[l]
itp[e],thcholstoic[m],tyr__L_c,cs_e_deg3[l]
dpcoa[m],xol7ah2[m],hs_deg5_l,cs_e_deg4[l]
ppi[e],xol7ah3[m],idour_l,ha[l]
HC01672[c],xol7ah2al[m],hs_deg16_l,ha_deg1[l]
HC01434[m],xol27oh[m],hs_deg17_l,ha_pre1[l]
HC01434[x],xol24oh[r],hs_deg22_l,cs_b_pre4[g]
uacgam[r],wharachd[r],hs_deg23_l,hs_pre10[g]
acmana[r],leuktrB4woh[r],cs_b_deg3_l,hs_pre11[g]
lac_[l][x],18harachd[r],idour_c,cs_a_b_e_pre1[g]
fdp[c],xoltri25[r],idp_n,udpglcur[g]
HC00250[c],xol27oh[r],ile__L_e,cs_c_d_e_pre1[g]
glyc3p[x],xoltri27[r],ile__L_c,cs_d_pre2[g]
dhap[x],leuktrB4wcooh[r],ile__L_m,cs_e_pre2[g]
HC01668[m],pro_[l][m],itacon_m,hs_pre1[g]
ptrc[e],pa_hs[r],itp_n,hs_pre2[g]
HC01408[m],pa_hs[g],f1p_c,hs_pre3[g]
xmp[c],pac[c],xylu__D_c,hs_pre4[g]
arachd[x],paf_hs[c],tag__D_c,hs_pre5[g]
pmtcoa[r],ak2lgchol_hs[c],ksii_core2_g,hs_pre6[g]
HC00342[m],pail_hs[n],ksii_core2_l,hs_pre7[g]
3hpp[m],pail45p_hs[c],ksii_core4_g,hs_pre8[g]
HC01254[c],pail45p_hs[n],ksii_core4_l,hs_deg3[l]
HC00361[c],pail4p_hs[c],k_g,hs_deg4[l]
e4p[c],pail4p_hs[n],anth_c,hs_deg8[l]
s7p[c],pan4p[c],kynate_c,hs_deg14[l]
pmtcrn[r],ptth[c],lcts_e,hs_deg15[l]
lnlccoa[r],pchol_hs[m],lgt__S_c,hs_deg20[l]
lnlccrn[r],pchol_hs[r],pi_l,hs_deg21[l]
lnlccoa[x],pchol_hs[g],lald__L_m,hs_deg24[l]
arachdcoa[r],camp[g],lac__L_m,hs_deg25[l]
arachdcrn[r],amp[g],lcts_g,hs_pre9[g]
arachdcrn[x],35cgmp[g],3spyr_c,glc__D[g]
hdcoa[r],pdx5p[c],leuktrA4_r,glcur[c]
hdcecrn[r],pydx5p[c],leuktrB4_c,glcur[r]
dgmp[c],pydxn[c],leuktrB4_r,dxtrn[c]
mev__R[c],pe_hs[m],leuktrC4_c,glygn3[c]
hxdcal[c],peamn[c],leuktrD4_c,guln__L[r]
cysam[c],pacald[c],leu__L_e,gln__L[m]
pacald[m],pristcoa[x],leu__L_c,g1p[c]
pac[m],3php[c],leu__L_m,gullac[c]
betald[c],prostgh2[c],nformanth_c,glucys[c]
HC00900[m],prostgd2[c],xyl__D_l,forglu[c]
ptth[m],prostgh2[r],cs_a_deg5_l,5forthf[c]
pan4p[m],prostgd2[r],cs_c_deg5_l,oxa[x]
L2aadp6sa[c],prostge2[r],cs_e_deg7_l,glx[c]
HC01501[c],pgp_hs[c],lipoate_c,glyb[e]
3hpcoa[m],1p3h5c[m],ficytC_m,glyc3p[m]
4hpro[l]T[c],phe_[l][e],lac__L_c,glyc__R[c]
1p3h5c[c],phe_[l][c],focytC_m,2pg[c]
4hpro[l]T[m],phe_[l][m],lneldccrn_c,glyclt[c]
cholcoa[c],phpyr[m],lneldccrn_m,glyclt[x]
HC01415[m],thbpt4acam[c],lnlccrn_c,glyc__S[c]
3odcoa[m],phytcoa[x],lnlccrn_m,glyc[c]
c8crn[m],succ[x],lnlncacrn_c,glyc[m]
c8crn[x],pail345p_hs[c],lnlncacrn_m,lgt__S[m]
ddcacoa[m],pail345p_hs[n],lnlncgcrn_c,gthrd[m]
3otdcoa[m],pi[n],lnlncgcrn_m,gmp[n]
2mop[c],pail34p_hs[c],lanost_c,6pgc[r]
HC00900[c],pail3p_hs[c],44mctr_c,ru5p__D[r]
HC00955[e],pail35p_hs[c],Ssq23epx_r,sarcs[c]
co2[e],pail5p_hs[c],lanost_r,gp1calpha_hs[c]
C02528[c],pail5p_hs[n],lpchol_hs_c,gp1calpha_hs[g]
dcholcoa[c],ppmi12346p[c],g3pc_c,gp1c_hs[c]
HC01412[m],ppmi12346p[n],thp2c_x,gp1c_hs[g]
3ohdcoa[m],pnto__R[e],mag_hs_c,em2emgacpail_prot_hs[r]
3hddcoa[m],pnto__R[c],glyc_e,hdca[r]
dd2coa[x],pppi[c],retinol_c,gpi_prot_hs[r]
fpram[c],ppa[e],retinol_cis_11_c,mgacpail_hs[r]
HC01223[m],phpyr[c],retinol_9_cis_c,gq1balpha_hs[c]
xol7ah2al[c],pppg9[c],trp__L_c,gq1balpha_hs[g]
dhcholestanate[c],pppg9[m],trypta_c,gq1b_hs[c]
HC01397[m],pram[c],3mldz_c,gq1b_hs[g]
HC01397[x],prgnlones[c],malt_l,gsn[c]
3htdcoa[m],prist[x],malt_c,gsn[l]
3htdcoa[x],prostge1[c],man_e,gt1a_hs[c]
HC01412[x],pro_[l][e],normete__L_c,gt1a_hs[g]
3oddcoa[m],pro_[l][c],3mgcoa_m,gthox[m]
dcacoa[m],ps_hs[m],malcoa_x,gthrd[r]
3hdcoa[m],ps_hs[c],mercplac_c,gua[c]
dc2coa[m],ptdcacrn[c],tcynt_c,xan[c]
dc2coa[x],ptdcacrn[m],5mdru1p_c,guln__L[c]
HC01405[m],hdca[x],mescon_m,pe_hs[r]
HC01406[m],phyt[x],mescoa_m,emgacpail_hs[r]
hxcoa[m],ahdt[c],6hoxmelatn_c,m2gacpail_hs[r]
HC01407[m],6pthp[c],meoh_c,h2o2[l]
hx2coa[m],ptrc[c],mepi_c,h2o2[n]
xol7ah3[c],4abutn[c],mepi_e,m3gacpail_hs[r]
xoltetrol[c],pydx[c],met__L_e,em3gacpail_hs[r]
HC01459[x],retinal[c]is_13[c],mev__R_x,emem2gacpail_hs[r]
HC02228[c],retinal_11[c]is[c],5pmev_x,em2emgacpail_hs[r]
citr_[l][e],retinal[c]is_9[c],mhista_c,m3emgacpail_hs[r]
r5p[c],rbl__D[c],mi1345p_c,gpi_hs[r]
adp[l],ru5p__D[c],mi134p_c,mem2emgacpail_hs[r]
atp[l],retinol[c]is_13[c],mi34p_c,pre_prot[r]
strdnc[r],retnglc[c],mi1p__D_c,uacgam[c]
lnlc[l],retnglc[r],mi145p_c,udpglcur[c]
lnlc[r],retn[r],mi14p_c,hcoumarin[c]
c8crn[c],rib__D[e],mi4p__D_c,hdcea[c]
thcholstoic[c],rib__D[c],mi14p_n,hestratriol[c]
dtmp[c],Rtotal3crn[c],mi1p__D_n,hestratriol[r]
2obut[m],Rtotal3crn[m],mi3p__D_c,man[c]
HC02020[r],cs_d_pre5[g],minohp_c,4mlacac[c]
hdd2coa[r],cs_b_pre5[g],minohp_n,his__L[c]
HC02021[r],hs_pre12[g],malttr_c,hista[c]
stcoa[r],hs_pre13[g],malttr_e,his__L[e]
HC02022[r],hs_pre14[g],malttr_l,im4act[c]
odecoa[r],hs_pre15[g],mmcoa__S_m,hmgcoa[c]
HC02023[r],hs_deg11[l],mmcoa__R_m,aacoa[c]
HC02024[r],cs[e]_pre5a[g],5mta_c,hmgcoa[m]
lnlncgcoa[r],cs[e]_deg1[l],5mdr1p_c,hmgcoa[x]
HC02025[r],cs[e]_deg5[l],methf_m,hom__L[c]
HC02026[r],ksi_deg4[l],4aabutn_c,pheme[c]
HC02027[r],ksii[c]ore2_deg1[l],Nacasp_c,phyt2ohcoa[x]
hdcea[r],ksii[c]ore4_deg1[l],ksi_deg7_l,pristanal[x]
ocdca[r],saccrp_[l][m],ksi_deg10_l,hpdcacrn[c]
ocdcea[r],sph1p[r],ksi_deg13_l,hpdcacrn[m]
lnlnca[r],sphgn[r],ksi_deg16_l,hpyr[c]
lnlncg[r],sphs1p[r],ksi_deg19_l,hpyr[m]
lnlncg[l],sphings[r],ksi_deg22_l,hpyr[x]
dlnlcg[r],sbt__D[c],ksi_deg25_l,hs_deg1[l]
xtsn[c],ser__D[e],ksi_deg28_l,hs_deg2[l]
HC02136[c],ser__D[c],ksi_deg31_l,hs_deg6[l]
HC10856[m],sgalside_hs[c],ksi_deg34_l,hs_deg7[l]
HC10857[m],acngalgbside_hs[g],cs_a_deg1_l,hs_deg12[l]
HC10858[m],sph1p[c],ksi_deg37_l,hs_deg13[l]
HC02220[e],sl_[l][c],ksii_core2_deg4_l,hs_deg18[l]
HC02220[c],sphmyln_hs[g],ksii_core2_deg7_l,hs_deg19[l]
HC02199[c],sphmyln_hs[l],ksii_core4_deg4_l,cortsn[r]
HC02199[e],spc_hs[c],cs_a_deg4_l,andrstndn[r]
HC02200[c],sphings[c],cs_b_deg1_l,tststerone[r]
HC02200[e],sphmyln_hs[c],cs_b_deg2_l,nadph[x]
HC02201[c],so4[e],cs_c_deg1_l,nadp[x]
HC02201[e],xolest_hs[c],cs_c_deg4_l,cholcoaone[x]
pyr[e],sphs1p[c],cs_d_deg1_l,eandrstrn[r]
acac[e],spmd[c],cs_d_deg2_l,andrstandn[r]
lac_[l][e],o2[e],cs_d_deg5_l,prgnlone[c]
but[e],sql[r],cs_d_deg6_l,prgnlone[r]
HC02194[e],gm1b_hs[g],cs_e_deg2_l,prgstrn[r]
HC02194[c],gd1a_hs[g],cs_e_deg6_l,17ahprgnlone[c]
HC02198[e],gt1b_hs[g],nac_e,17ahprgstrn[c]
HC02198[c],gq1c_hs[g],nac_c,17ahprgnlone[r]
HC02187[e],strdnccrn[c],ncam_c,17ahprgstrn[r]
HC02187[c],strdnccrn[m],nad_n,xol7a[r]
HC02180[e],taur[e],Tn_antigen_l,xol7aone[r]
HC02180[c],tchola[c],udp_l,hspg[l]
wharachd[e],tcynt[m],udpacgal_l,hs[l]
wharachd[c],thmpp[c],na1_g,hspg[g]
HC02202[e],tetpent3crn[c],na1_x,htaxol[c]
HC02202[c],tetpent3crn[m],carn_c,hxan[c]
HC02203[e],tetpent3coa[m],udp_r,hxan[x]
HC02203[c],tetpent6crn[c],ump_r,pyam5p[c]
HC02204[e],tetpent6crn[m],pi_g,pydam[c]
HC02204[c],tetpent6coa[m],ump_g,taur[c]
HC02205[e],tettet6crn[c],nicrns_c,icit[c]
HC02205[c],tettet6crn[m],nicrnt_c,3ityr__L[c]
HC02206[e],tettet6coa[m],nicrnt_n,iodine[c]
HC02206[c],thcholstoic[x],nmn_m,35diotyr[c]
HC02207[e],thymd[e],nmn_n,triodthy[c]
HC02207[c],thymd[c],nmn_c,thyox__L[c]
HC02208[e],thmtp[c],prpp_c,tyr__L[c]
HC02208[c],tmlys[c],nwharg_c,hs_deg5[l]
HC02210[e],tmndnccrn[c],no_c,idour[l]
HC02210[c],tmndnccrn[m],r1p_c,hs_deg16[l]
HC02213[e],trdox[c],nrpphrsf_c,hs_deg17[l]
HC02213[c],trdrd[c],sT_antigen_g,hs_deg22[l]
HC02214[e],q10[c],dimp_c,hs_deg23[l]
HC02214[c],q10h2[c],uri_e,cs_b_deg3[l]
HC02216[e],triodthysuf[c],ump_l,idour[c]
HC02216[c],trp_[l][e],uri_l,ile__L[e]
HC02217[e],tststerones[c],cmp_l,ile__L[c]
HC02217[c],tststerone[c],dtmp_l,ile__L[m]
HC00342[c],ttdcrn[m],thymd_l,itacon[m]
oxa[m],ttdcrn[c],dtmp_m,itp[n]
c4crn[c],tymsf[c],thymd_m,f1p[c]
c4crn[m],tym[c],amp_l,xylu__D[c]
dlnlcgcoa[r],tyr_[l][e],gmp_l,tag__D[c]
6pgc[c],tyr_[l][m],o2s_m,ksii_core2[g]
trdrd[n],udpacgal[c],o2s_n,ksii_core2[l]
trdox[n],ump[c],o2s_x,ksii_core4[g]
CE2421[m],udpglcur[r],o2_n,ksii_core4[l]
CE0713[m],udpg[r],succ_m,k[g]
CE2421[x],udpxyl[g],retn_c,anth[c]
CE0713[x],udpxyl[c],13_cis_retn_c,4aphdob[c]
CE2251[c],udpxyl[r],orn_e,kynate[c]
CE2247[c],ump[n],orot5p_c,lcts[e]
CE2243[c],ura[e],prgnlone_m,lgt__S[c]
CE2250[c],urate[c],xoltriol_m,pi[l]
CE2246[c],urea[e],xoltetrol_m,lac__L[m]
CE2242[c],urea[c],thcholst_m,lcts[g]
CE2253[c],val_[l][e],thcholstoic_m,3spyr[c]
CE2249[c],val_[l][c],xol7ah2_m,leuktrA4[r]
CE2245[c],val_[l][m],xol7ah3_m,leuktrB4[c]
docoscoa[c],dhcholestanate[r],xol7ah2al_m,leuktrB4[r]
docosac[c],dhcholestancoa[r],xol27oh_m,leuktrC4[c]
3ohodcoa[c],thcholstoic[r],xol24oh_r,leuktrD4[c]
CE2248[c],cholcoar[r],xoltri24_r,leu__L[e]
CE2705[c],whtststerone[c],wharachd_r,leu__L[c]
CE2866[c],xolest2_hs[c],leuktrB4woh_r,leu__L[m]
maltttr[e],xoltri24[c],18harachd_r,nformanth[c]
maltpt[e],xoltri25[c],xoltri25_r,limnen[c]
malthx[e],xoltri27[c],xol27oh_r,xyl__D[l]
malthp[e],xser[r],xoltri27_r,cs_a_deg5[l]
CE2839[c],xu5p__D[c],leuktrB4wcooh_r,cs_c_deg5[l]
CE2838[c],xylt[c],pro__L_m,cs_e_deg7[l]
CE2839[e],Ser[g]ly_Ala[x][g]ly[r],pa_hs_r,lipoate[c]
CE2838[e],xyl__D[c],pa_hs_g,ficytC[m]
pail_hs[r],acmana[e],pac_c,lac__L[c]
pail5p_hs[r],ahdt[e],paf_hs_c,focytC[m]
pail45p_hs[m],ctp[e],ak2lgchol_hs_c,lneldccrn[c]
CE5101[m],dgmp[e],pail_hs_n,lneldccrn[m]
CE2434[m],dgtp[e],pail45p_hs_c,lnlccrn[c]
CE2434[x],dha[e],pail45p_hs_n,lnlccrn[m]
CE0849[m],dhap[e],pail4p_hs_c,lnlncacrn[c]
CE2433[m],dtmp[e],pail4p_hs_n,lnlncacrn[m]
CE0849[x],dttp[e],pan4p_c,lnlncgcrn[c]
CE2433[x],HC01104[e],ptth_c,lnlncgcrn[m]
CE0785[m],HC01361[e],pchol_hs_m,lanost[c]
CE2432[m],HC01440[e],pchol_hs_r,44mctr[c]
CE0785[x],HC01441[e],pchol_hs_g,Ssq23epx[r]
CE2432[x],HC01444[e],camp_g,lanost[r]
dece4coa[x],HC01446[e],amp_g,lpchol_hs[c]
dec24dicoa[x],HC01577[e],35cgmp_g,g3pc[c]
C05279[m],HC01609[e],pdx5p_c,thp2c[x]
CE2420[m],cpppg1[e],pydx5p_c,mag_hs[c]
C05279[x],HC01700[e],pydxn_c,glyc[e]
CE2420[x],HC02160[e],pe_hs_m,retinol[c]
CE2417[m],HC02161[e],peamn_c,retfa[c]
CE2417[x],itp[e],pacald_c,retinol_cis_11[c]
CE2418[m],HC00617[c],pristcoa_x,11_cis_retfa[c]
CE2418[x],HC00619[c],3php_c,retinol_9_cis[c]
CE2422[m],dpcoa[m],prostgh2_c,9_cis_retfa[c]
CE2422[x],ppi[e],prostgd2_c,trp__L[c]
CE2424[m],HC01672[c],prostgh2_r,trypta[c]
CE2424[x],HC01434[m],prostgd2_r,3mldz[c]
CE0693[m],HC01434[x],prostge2_r,malt[l]
CE0693[x],HC00591[c],prostgi2_r,malt[c]
C05280[m],HC00591[m],pgp_hs_c,man[e]
C05280[x],uacgam[r],1p3h5c_m,normete__L[c]
dece4coa[m],acmana[r],phe__L_e,3mgcoa[m]
CE1918[c],cdp[e],phe__L_c,malcoa[x]
cholcoa[m],HC01118[r],phe__L_m,mercplac[c]
cholate[x],lac_[l][x],phpyr_m,mercplaccys[c]
retinal[c]is_13[r],fdp[c],thbpt4acam_c,tcynt[c]
CE5026[c],HC00250[c],phytcoa_x,5mdru1p[c]
pail35p_hs[r],HC01496[m],succ_x,mescon[m]
pail345p_hs[r],glyc3p[x],pail345p_hs_c,mescoa[m]
C05957[c],dhap[x],pail345p_hs_n,fna5moxam[c]
CE4877[c],HC01668[m],pi_n,6hoxmelatn[c]
CE2176[c],glyald[m],pail34p_hs_c,meoh[c]
CE5276[c],r5p[r],pail3p_hs_c,meoh[l]
CE5025[c],ptrc[e],pail35p_hs_c,mepi[c]
CE2576[c],HC01408[m],pail5p_hs_c,mepi[e]
CE2577[c],xmp[c],pail5p_hs_n,met__L[e]
CE6205[c],arachd[x],ppmi12346p_c,mev__R[x]
CE5166[m],pmtcoa[r],ppmi12346p_n,5pmev[x]
cholcoar[m],HC00342[m],pnto__R_e,mhista[c]
CE5166[x],glyc__R[m],pnto__R_c,mi1345p[c]
CE4872[c],3pg[m],pppi_c,mi134p[c]
CE4872[m],3hpp[m],ppa_e,mi34p[c]
C02712[c],HC00682[m],phpyr_c,mi1p__D[c]
retinal[r],2mpdhl[m],2hyoxplac_c,mi145p[c]
crm_hs[n],HC01377[m],pppg9_c,mi14p[c]
udpgal[r],HC01254[c],pppg9_m,mi4p__D[c]
galside_hs[r],HC00361[c],pram_c,mi3p__D[c]
C01747[l],e4p[c],prgnlones_c,minohp[c]
CE5125[x],s7p[c],prist_x,minohp[n]
CE5126[x],HC10859[c],pro__D_e,malttr[c]
hdcea[m],HC10859[m],pro__D_c,malttr[e]
CE4795[m],HC10859[x],prostge1_c,malttr[l]
CE4795[x],pmtcrn[r],prostgh2_e,mmcoa__S[m]
CE5114[x],pmtcrn[x],prostgi2_e,mmcoa__R[m]
CE4791[x],lnlccoa[r],prostgi2_c,5mta[c]
CE4793[x],lnlccrn[r],pro__L_e,5mdr1p[c]
CE2439[x],lnlccoa[x],pro__L_c,methf[m]
CE2440[x],lnlccrn[x],ps_hs_m,4aabutn[c]
CE2437[x],arachdcoa[r],ps_hs_c,Nacasp[c]
CE2438[x],arachdcrn[r],ptdcacrn_c,ksi_deg7[l]
CE2442[m],arachdcrn[x],ptdcacrn_m,ksi_deg13[l]
CE2442[x],hdcoa[r],hdca_x,ksi_deg16[l]
CE2441[x],hdcecrn[r],phyt_x,ksi_deg19[l]
CE5116[x],HC01712[m],ahdt_c,ksi_deg22[l]
CE5117[m],dgmp[c],6pthp_c,ksi_deg25[l]
CE5118[m],HC00576[c],ptrc_c,ksi_deg28[l]
CE5119[m],HC00718[c],4abutn_c,ksi_deg34[l]
CE5120[m],mev__R[c],pydx_c,cs_a_deg1[l]
CE4790[m],dtdp[e],quln_c,ksi_deg37[l]
CE4792[m],5fthf[m],retinal_cis_13_c,ksii_core2_deg4[l]
CE4794[m],hxdcal[c],retinal_11_cis_c,ksii_core2_deg7[l]
CE4990[c],cysam[c],retinal_cis_9_c,ksii_core4_deg4[l]
leuktrB4[m],pacald[m],rbl__D_c,cs_a_deg4[l]
CE4990[m],pac[m],ru5p__D_c,cs_b_deg1[l]
leuktrB4[x],betald[c],retinol_cis_13_c,cs_b_deg2[l]
CE4990[x],HC00900[m],retnglc_c,cs_c_deg1[l]
leuktrB4woh[m],ptth[m],retnglc_r,cs_c_deg4[l]
CE2053[m],pan4p[m],retn_r,cs_d_deg1[l]
CE2053[r],L2aadp6sa[c],ribflv_e,cs_d_deg2[l]
CE2053[c],HC01501[c],rib__D_e,cs_d_deg5[l]
leuktrB4wcooh[c],3hpcoa[m],rib__D_c,cs_d_deg6[l]
leuktrB4wcooh[m],HC01376[m],rnam_c,cs_e_deg2[l]
CE2056[r],HC00664[c],Rtotal3crn_c,cs_e_deg6[l]
CE3554[r],HC01180[c],Rtotal3crn_m,nac[e]
CE7172[c],4hpro[l]T[c],cs_d_pre5_g,nac[c]
C05769[c],1p3h5c[c],cs_b_pre5_g,adprbp[c]
cpppg3[c],4hpro[l]T[m],hs_pre12_g,ncam[c]
C05770[c],cholcoa[c],hs_pre13_g,nad[n]
CE2038[x],HC01415[m],hs_pre14_g,Tn_antigen[l]
CE5934[x],3odcoa[m],hs_pre15_g,udp[l]
C07297[x],c8crn[m],hs_deg11_l,udpacgal[l]
CE4793[c],c8crn[x],cs_e_pre5a_g,na1[g]
CE5114[c],ddcacoa[m],cs_e_deg1_l,na1[x]
CE4812[c],3otdcoa[m],cs_e_deg5_l,carn[c]
CE4811[c],2mop[c],ksi_deg4_l,udp[r]
CE4810[c],HC00900[c],ksii_core2_deg1_l,ump[r]
