mets,genes,rxns
hdd2coa[c],236149,CDCA24Gte
hdd2crn[c],236293,CDCA3GSc
hdcecrn[m],319800,CDCA3GSr
hdcoa[m],434674,CDCA3Gte
hdd2crn[m],327951,CDCA6AH
hdd2coa[m],64008,CDIPTr
stcoa[c],106648,CDS
stcrn[c],16987,CDSm
stcrn[m],18783,CE1273t1
stcoa[m],12735,CE1352te
odecoa[c],19193,CE1447te
odecrn[c],16956,CE1918te
odecrn[m],15450,CE2006te
odecoa[m],12613,CE2026te
arachdcrn[c],116939,CE2209te
arachdcrn[m],23945,CE2211te
arachdcoa[m],237625,CE2510ABCt
c226coa[c],79235,CE2537ABCt
c226coa[x],235293,CE2705t
c226crn[c],16993,CE4877te
c226crn[m],17001,CE4890te
c226coa[m],66447,CE4890te2
4mzym_int1[r],211666,CE4968te
4mzym_int2[r],14874,CE4970te
co2[r],14387,CE5025t
nad[r],72039,CE5026t
nadh[r],78038,CE5072te
zym_int2[r],56690,CE6205te
zymst[r],246221,CE7085te
o2[r],17448,CE7090te
h2o[r],17449,CE7096te
ca2[c],107029,CEPTC
ca2[e],17436,CEPTE
caro[e],109264,CERK
carveol[e],15930,CERT1gt
carveol[c],13095,CERT1rt
etoh[x],13076,CERT2gt
h2o2[m],13078,CERT2rt
cbl2[c],13077,CGLYt3_2
cbl2[m],11720,CGMPt
cbp[r],108645,CH25H
glc__D[r],232087,CHAT
g6p[r],238505,CHATn
nh4[r],17855,CHLP
cbp[m],16331,CHLPCTD
pi[r],104015,CHLSTD78I
ppi[r],16332,CHLSTI_1
prostge2[c],170835,CHOLATEt
prostgf2[c],16330,CHOLATEt2
cdpdag_hs[c],64436,CHOLATEt3
inost[c],212111,CHOLD
cmp[c],16329,CHOLD2m
pail_hs[c],228550,CHOLESACATc_1
cdpdag_hs[m],233011,CHOLESTle_1
ctp[c],320404,CHOLK
ctp[m],71780,CHOLt4
pa_hs[m],269180,CHOLtu
cdpchol[c],234515,CHSTEROLSULT
dag_hs[c],76051,CHSTEROLt
pchol_hs[c],73724,CHSTEROLt1
cdpea[c],17850,CHSTEROLtg
pe_hs[c],68393,CHTNASE
crm_hs[c],233549,CHTNASEe
crmp_hs[c],66902,CITL
crm_hs[g],17768,CITRtm
crm_hs[r],94192,CITt4_1
gluside_hs[c],11484,CITt4_2
gluside_hs[r],71670,CITt4_3
cgly[c],17939,CITt4_4
chsterol[r],59033,CITtam
xol25oh[r],94229,CITtbm
chol[c],114479,CITtcm
chol[n],11931,CKc_cho
coa[n],232975,CK_cho
cholp[c],98660,CLFORtex
chol[m],67821,CLFORtex2
cholate[e],11933,CLHCO3tex2
cholate[c],11928,CLHCOtex
cholp[g],27222,CLI2tex
cholp[l],11932,CLOHtex2
chol[g],20544,CLOHtex2_1
chol[r],105243,CLOXAtex2
chsterol[c],226999,CLPNDCPT1
chsterols[c],338403,CLPNDCPT2
chsterol[l],66054,CLPNDCRNt
chsterol[m],20497,CLS_hs
chsterol[g],238384,Clt
chtn[c],94249,CMPACNAtg
chtn[e],214111,CMPSASn
acgam[e],76376,COAtim
itaccoa[m],76025,COKECBESr
citmcoa__L[m],66422,COPROSTabc
citr__L[m],67464,COPROSTt
cit[e],100862375,COPROSTt2
pep[m],21915,COQ3m
creat[m],79059,COQ6m
pcreat[m],18103,COQ7m
creat[c],18102,CORE2GTg
pcreat[c],54369,CORE3GTg
cl[e],171567,CORE4GTg
for[c],56520,CORE6GTg
cl[c],58176,CPK1
for[e],19743,CPPPGO
i[c],20495,CPS_m
i[e],20496,CREATt4_2_r
oxa[c],74080,CRNATBtc
oxa[e],66454,CRNCARtm
clpndcoa[c],226518,CRNCARtp
clpndcoa[x],59027,CRNt
clpndcrn[c],18113,CRNtHa
clpndcrn[m],18948,CRNtim
clpndcoa[m],18127,CRNtuNa
clpnd[e],18125,CRVS1M24hc
clpnd[c],18126,CRVS23M24hc
pglyc_hs[c],667034,CRVSATPtu
clpn_hs[c],18950,CRVSM1hc
cmp[g],20517,CRVSM1hr
cmpacna[c],20445,CRVSM1teb
cmpacna[g],50773,CRVSM23hc
cmpacna[n],18675,CRVSM23hr
ctp[n],103850,CRVSM23teb
ppi[n],23959,CRVSM24teb
co2[g],69983,CRVSthc
co2[x],18416,CSAtu
coa[g],67041,CSm
coa[l],353371,CSNAT2m
coa[r],13171,CSNAT2x
coke[r],12040,CSNAT3x
egme[r],12039,CSNATer
2dpmhobq[m],75475,CSNATm
q10[m],18242,CSNATp
2dp6mobq[m],22247,CSNATr
2dp6mobq_me[m],13521,CSNt
2dp6mep[m],231583,CTPS1
Tn_antigen[g],13487,CTPS2
core3[g],13070,CVM1GLUChc
core4[g],13072,CVM23GLUChc
core5[g],110115,CYANSTm
core6[g],13074,CYOOm2i
core7[g],13075,CYOOm3i
core8[g],56388,CYOR_u10mi
co[c],13113,CYSALANaEx
co[e],13114,CYSAMO_cho
T4hcinnm[m],337924,CYSASNMETt
coumarin[e],13112,CYSASNNaEx
coumarin[c],100041449,CYSASPPHEt
creat[e],622127,CYSATB0tc
crmp_hs[e],100041375,CYSB0AT3tc
pcrn[x],13079,CYSCYSt
crn[x],104086,CYSGLNMETt
pcrn[c],13086,CYSGLNNaEx
acrn[x],13087,CYSGLUexR
crn[e],72082,CYSGLUHISt
dmnoncrn[x],13097,CYSGLUTRPt
dmnoncrn[m],13098,CYSGLYex
crtn[c],69888,CYSLEUTHRt
crtsl[e],72303,CYSO
crtsl[c],56448,CYSPHELAT2tc
crtsl[m],13107,CYSSERMETt
crtsl[r],56050,CYSSERNaEx
crtstrn[e],53973,CYSSNAT5tc
crtstrn[c],13116,CYSt4
crtstrn[m],64385,CYSTA
crvnc[e],170716,CYSTALArBATtc
crvnc[c],72054,CYStec
cspg_a[l],13123,CYSTGL
Ser_Gly_Ala_X_Gly[l],13124,CYSTGLUex
cs_a[l],209027,CYSTHRNaEx
cspg_b[l],100163,CYSTLEUrBATtc
cs_b[l],18475,CYSTS
cspg_c[l],18476,CYSTSERex
cs_c[l],18472,CYSTYRASNt
cspg_d[l],27226,CYTD
cs_d[l],73836,CYTDK1
cspg_e[l],11982,CYTDK2
cs_e[l],18806,CYTDn
pcrn[m],18805,CYTDt
dmnoncoa[x],266645,CYTDt2
ppcoa[x],18563,CYTDt4
crn[r],18670,CYTDt5
acrn[r],54611,CYTDtl
csn[e],18578,CYTDtm
csn[c],18584,CYTK1
cspg_a[g],18574,CYTK10
cspg_a[e],18583,CYTK10n
cspg_b[g],110385,CYTK11
cspg_b[e],18575,CYTK11n
cspg_c[g],238871,CYTK12
cspg_c[e],18573,CYTK12n
cspg_d[g],18576,CYTK13
cspg_d[e],23984,CYTK13n
cspg_e[g],18577,CYTK14
cspg_e[e],207728,CYTK14n
cyan[e],29863,CYTK1m
cyan[c],241489,CYTK1n
cyan[m],218461,CYTK2
cysi__L[c],110855,CYTK2_1
gthrd[c],18585,CYTK2n
gthox[c],242202,CYTK3
mercppyr[c],225600,CYTK3n
cysi__L[e],18587,CYTK4
glu__L[e],78600,CYTK4n
cytd[c],18582,CYTK5n
uri[c],18588,CYTK6n
cytd[m],18598,CYTK7
cmp[m],68263,CYTK7n
cytd[n],235339,CYTK8
h[n],18597,CYTK8n
nh4[n],103711,CYTK9
uri[n],11980,CYTK9n
cytd[e],18534,D3AIBTm
cytd[l],74551,DACGST
dgtp[c],80911,DADA
cdp[c],68671,DADAe
dgdp[c],18618,DADK
cmp[n],236539,DADNt4
dgtp[n],19215,DAGK_hs
cdp[n],54486,DAGKn_hs
dgdp[n],96979,DALAOXx
dcmp[c],64292,DALAt2r
dcdp[c],19223,DARGOp
dcmp[n],66461,DASCBR_1
dcdp[n],74451,DASPO1p
dctp[c],19225,DCA24GSc
dctp[n],19224,DCA24GSr
datp[n],234724,DCA24Gte
dadp[n],18478,DCA3GSc
utp[c],16922,DCA3GSr
utp[n],19211,DCA3Gte
udp[n],20975,DCA3Sabc
cdp[m],18720,DCA3St
adp[n],18717,DCASULT
gtp[n],18719,DCATDc
gdp[n],84095,DCIm
3aib__D[e],224020,DCK1n
3aib__D[m],107650,DCK2n
dad_2[c],74769,DCMPDA
din[c],18708,DCSPTN1COAtxc
dad_2[e],18707,DCSPTN1CPT1
din[e],18710,DCSPTN1CPT2
dag_hs[r],18709,DCSPTN1CRNt
dag_hs[n],18706,DCT
pa_hs[n],23900,DCYTD
dag_hs[e],30955,DCYTDn
ala__D[x],320207,DCYTt
nh4[x],320634,DCYTtm
arg__D[x],18795,DEBRISOQUINEt
5g2oxpt[x],234779,DEOXFVShc
23doguln[c],269615,DES21
oaa[x],72469,DESAT14_9
dd2coa[m],114875,DESAT16
dd3coa[m],18802,DESAT16_2
dcyt[m],18796,DESAT18
dcmp[m],18803,DESAT18_10
dcyt[n],74055,DESAT18_11
dcsptn1coa[c],18799,DESAT18_12
dcsptn1coa[x],18798,DESAT18_3
dcsptn1crn[c],18797,DESAT18_5
dcsptn1crn[m],227120,DESAT18_6
dcsptn1coa[m],433022,DESAT18_8
dcsptn1[e],269437,DESAT18_9
dcsptn1[c],18711,DESAT20_1
L_dpchrm[c],108083,DESAT20_2
56dihindlcrbxlt[c],117150,DESAT24_1
dcyt[c],18718,DESFVShc
duri[c],53357,DGAT
duri[n],18780,DGK1
dcyt[e],66350,DGNSK
4h2oglt[m],18784,DGNSKm
debrisoquine[e],26971,DGSNt
debrisoquine[c],211429,DHAAt1r
decdp[c],329502,DHCHOLESTANATEATP
decdp[m],18778,DHCHOLESTANATEt
dedoldp__L[c],18782,DHCR241r
dedolp__L[c],26565,DHCR242r
dedol__L[c],26970,DHCR243r
dolichol__L[c],68603,DHCR71r
lnlncacoa[c],271424,DHCR72r
strdnccoa[c],27399,DHCRD1
octd11ecoa[c],76500,DHCRD2
od2coa[c],74776,DHDPBMTm
lneldccoa[c],50784,DHEASt
lnlccoa[c],19012,DHEASULT
lnlncgcoa[c],67916,DHFR
dlnlcgcoa[c],19044,DHFR2i
eicostetcoa[c],13861,DHFRim
tetpent3coa[c],11758,DHORD9
tethex3coa[c],17523,DHORTS
tag_hs[c],19125,DHPM1
dgchol[e],24059,DHPM2
dgchol[c],320951,DHPR
datp[m],19210,DHRT_ibcoa
dgmp[m],27388,DIDECAETH
dadp[m],171210,DIGALSGALSIDEATPte
dgdp[m],170789,DIHOLINETH
dgsn[m],171282,DINt
dgsn[e],19286,D_LACt2
dgsn[c],20229,D_LACtm
3dhguln[c],69215,DLNLCGCPT1
dhdascb[e],216134,DLNLCGCPT2
dhcholestanate[m],22271,DLNLCGCRNt
dhcholestanate[x],76654,DLNLCGt
fadh2[r],14863,DMATT
fad[r],71336,DMATTx
zymstnl[r],19682,DMGDHm
chlstol[r],54150,DNADDP
lthstrl[r],216453,DNDPt10m
dsmsterol[r],103142,DNDPt11m
ddsmsterol[r],19683,DNDPt12m
dhcrm_hs[c],216454,DNDPt13m
fad[c],107605,DNDPt14m
fadh2[c],98711,DNDPt15m
3dpdhb_me[m],108841,DNDPt16m
dheas[e],77974,DNDPt17m
dheas[c],17252,DNDPt18m
dheas[r],242285,DNDPt19m
dhea[c],105014,DNDPt1m
dhea[r],235033,DNDPt20m
dhf[c],69698,DNDPt21m
dhf[l],225994,DNDPt23m
dhf[m],20443,DNDPt24m
dhor__S[c],20442,DNDPt25m
orot[c],20444,DNDPt28m
q10h2[m],338362,DNDPt2m
56dura[c],23908,DNDPt30m
cala[c],15931,DNDPt31m
56dthm[c],15476,DNDPt32m
dhbpt[c],628779,DNDPt37m
mlthf[c],319415,DNDPt38m
thbpt[c],195646,DNDPt39m
didp[c],15478,DNDPt3m
didp[n],54710,DNDPt40m
digalsgalside_hs[c],328779,DNDPt41m
digalsgalside_hs[g],72136,DNDPt42m
digalside_hs[c],58250,DNDPt43m
digalside_hs[g],71797,DNDPt44m
digalside_hs[l],59031,DNDPt45m
ditp[c],11881,DNDPt46m
ditp[n],56773,DNDPt47m
dkmpp[c],54371,DNDPt48m
2kmb[c],26887,DNDPt49m
lac__D[e],76969,DNDPt4m
lac__D[c],53374,DNDPt50m
lac__D[m],60322,DNDPt51m
dlnlcgcrn[c],50787,DNDPt52m
dlnlcgcrn[m],50785,DNDPt53m
dlnlcgcoa[m],50786,DNDPt54m
dlnlcg[e],75612,DNDPt55m
dlnlcg[c],30956,DNDPt56m
13_cis_oretn[n],69156,DNDPt57m
13_cis_retn[n],140483,DNDPt58m
Asn_X_Ser_Thr[l],192166,DNDPt59m
dctp[m],81535,DNDPt5m
dem2emgacpail_prot_hs[r],20322,DNDPt60m
dgpi_prot_hs[r],20280,DNDPt61m
dgtp[m],20540,DNDPt62m
dsT_antigen[g],268656,DNDPt63m
dttp[m],20773,DNDPt6m
dttp[n],228677,DNDPt7m
ethamp[r],13885,DOCO13ECOAtxc
gpi_sig[r],20397,DOCO13EFATP
hretn[n],20454,DOCOHEXETHc
kdn[c],56632,DOCOSACT
m3gacpail_prot_hs[r],20698,DOCOSCOAtxc
melanin[c],76668,DOCTETETH
mem2emgacpail_prot_hs[r],58994,DOLPH_Ler
n5m2masn[g],238011,DOLPH_Uer
oretn[n],77626,DOLPMT_U
Ser_Thr[l],20597,DOPA3GLCURt
sprm[c],20598,DOPA4GLCURt
sTn_antigen[g],208449,DOPABMO_1
gtocophe[c],208890,DOPACHRMISO
dmantipyrine[e],320718,DOPAENT4tc
dmantipyrine[c],224661,DOPAMT
dmpp[x],268512,DOPASULT
ipdp[x],243755,DOPASULT4
grdp[x],20652,DOPAt4_2_r
ppi[x],20657,DOPAtu
dmgly[m],20656,DOPAVESSEC_1
fald[m],20655,DORNOp
sarcs[m],20751,DPCOAK
dmhptcrn[m],20603,DPCOAKm
dmhptcoa[m],20810,DPCOAPP
dmhptcrn[c],20775,DPGase
dmhptcrn[e],14137,DPGM
dmnoncoa[c],78925,DPMVD
dmnoncrn[c],94224,DPMVDx
dmnoncoa[m],11298,DRBK
dnad[c],15567,DRPA
dnad[n],20441,DSMSTOLR
dcdp[m],54613,DSPVShc
dtdp[m],20446,DSPVSteb
dudp[c],20447,DSREDUCr
dtdp[c],50935,DTMPK
dudp[m],26938,DTMPKm
dutp[c],20449,DURAD
dutp[m],225742,DURAD2
dttp[c],20905,DURIK1
thrnt[c],66945,DURIK1m
dolglcp__L[c],66925,DURIPP
dolglcp__L[r],66052,DURIt
dolp__L[r],67680,DUTCP
dolichol__L[r],211389,DUTPDPm
dolichol_U[r],21366,DUTPDPn
dolichol_U[c],13180,DUTUP
dolp__L[c],18115,EANDRSTRNte
dolp_U[c],105663,EBP1r
dolmanp_U[c],20502,EBP2r
gdpmann[c],72962,ECOAH12m
2c23dh56dhoxin[c],192289,ECOAH1m
dopaqn[c],50493,ECOAH1x
dopasf[c],212974,ECOAH4m
dopasf[e],58866,ECOAH4p
dopa[e],21990,ECOAH5m
orn__D[x],216343,ECOAH5p
5a2opntn[x],56720,ECOAH9m
dpcoa[l],209176,EHGLAT2m
dpcoa[c],55961,EHGLATm
23dpg[c],21391,EIC21114TRc
3pg[c],21823,EICOSTETCPT1
13dpg[c],22178,EICOSTETCPT2
5dpmev[x],50798,EICOSTETCRNt
pi[x],66248,ELAIDCPT1
frdp[c],22232,ELAIDCPT2
ipdp[c],22235,ELAIDCRNt
drib[e],242585,ELAIDt
2dr5p[c],67883,ENO
g3p[c],18606,ESTRAABCtc
dtdp[n],58246,ESTRADIOLGLCt
dudp[n],16770,ESTRADIOLGLCt2
dump[c],22234,ESTRIOLGLCte
dump[n],70484,ESTRONEGLCt
ura[c],394434,ESTRONESt
thym[c],394430,ESTRONESt2
duri[m],94284,ESTRSABCtc
dump[m],394432,ESTSULT
duri[e],394435,ETF
dutp[n],394433,ETFQO
eaflatoxin[e],22236,ETHAK
eaflatoxin[c],394436,ETHP
ebastineoh[e],243085,ETOHMO
ebastineoh[c],231396,F1PGT
ebastineoh[r],22238,FA160COAabcp_1
ebastine[e],112417,FACOAE120
ebastine[c],100559,FACOAE140
ebastine[r],71773,FACOAE161
3hbcoa[m],100727,FACOAE180
3hbcoa[x],68556,FACOAE1829Z12Z
b2coa[x],22436,FACOAE1836Z9Z12Z
3hmbcoa[m],102448,FACOAE1839Z12Z15Z
eicostetcrn[c],233781,FACOAL140
eicostetcrn[m],217119,FACOAL150
eicostetcoa[m],67880,FACOAL160
eicostet[e],76429,FACOAL161
eicostet[c],67895,FACOAL170
elaidcrn[c],76055,FACOAL180
elaidcrn[m],12870,FACOAL181
od2coa[m],14325,FACOAL1812
elaid[e],14319,FACOAL1812_1
elaid[c],67634,FACOAL1813
n2m2nm[l],109754,FACOAL1821
ksi_deg2[l],72017,FACOAL1822
ksi_deg3[l],320635,FACOAL1831
s2l2n2m2m[l],26462,FACOAL1832
s2l2n2m2mn[l],71743,FACOAL184
estradiolglc[e],76952,FACOAL191
estradiolglc[c],230718,FACOAL200
estradiolglc[r],107569,FACOAL203
estradiol[e],70881,FACOAL204
estradiol[c],15452,FACOAL2042
estradiol[r],11821,FACOAL205
estriolglc[c],52633,FACOAL206
estriolglc[e],18770,FACOAL224
estriolglc[r],207182,FACOAL2251
estriol[r],71522,FACOAL2252
estriol[c],18641,FACOAL226
estroneglc[c],107869,FACOAL240_1
estroneglc[e],14555,FACOAL241
estroneglc[r],69080,FACOAL244_1
estrones[e],331026,FACOAL245_1
estrones[c],12411,FACOAL245_2
estrone[r],11647,FACOAL246_1
estrone[c],19895,FACOAL260
etfox[m],66355,FACOAL40im
etfrd[m],105446,FACOAL80
etha[c],107239,FADDP
ethamp[c],229363,FADDPle
10fthf[e],70025,FADH2ETC
10fthf5glu[e],19063,FADRx2
10fthf6glu[e],171281,FAEL183
10fthf7glu[e],54397,FAEL184
11_cis_retfa[e],111175,FAEL204
13_cis_retnglc[e],26922,FAEL205
1glyc_hs[e],11370,FAH1
35cgmp[e],11363,FAH2
3aib[e],235582,FAH3_1
4hphac[e],320208,FALDH
5dhf[e],223646,FAOXC10080m
5thf[e],67375,FAOXC10080x
6dhf[e],382985,FAOXC101C102m
6thf[e],20133,FAOXC101C102x
7dhf[e],20135,FAOXC101C8m
7thf[e],15357,FAOXC101C8x
9_cis_retfa[e],666417,FAOXC101x
adprbp[e],107885,FAOXC102C101m
ak2lgchol_hs[e],100039707,FAOXC102C101x
aprgstrn[e],211488,FAOXC102C103m
avite1[e],211347,FAOXC102C103x
camp[e],74450,FAOXC102C81m
chsterol[e],75735,FAOXC102C81x
cmp[e],269614,FAOXC102m
dhf[e],67993,FAOXC102x
digalsgalside_hs[e],22117,FAOXC103C102m
fuc13galacglcgal14acglcgalgluside_hs[e],227095,FAOXC103C102x
fuc14galacglcgalgluside_hs[e],69051,FAOXC10C10OHm
fucacgalfucgalacglcgalgluside_hs[e],22275,FAOXC10DCC8DCx
fucacngal14acglcgalgluside_hs[e],13121,FAOXC11
fucacngalacglcgalgluside_hs[e],433323,FAOXC11BRC9BRx
fucfuc12gal14acglcgalgluside_hs[e],20524,FAOXC11C9m
fucfuc132galacglcgal14acglcgalgluside_hs[e],229782,FAOXC120100m
fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],27409,FAOXC120100x
fucfucfucgalacglcgal14acglcgalgluside_hs[e],67470,FAOXC121C101m
fucfucgalacglcgalgluside_hs[e],237831,FAOXC121C10x
fucgal14acglcgalgluside_hs[e],223920,FAOXC121x
fucgalfucgalacglcgalgluside_hs[e],16889,FAOXC122C101m
fucgalgbside_hs[e],76459,FAOXC122m
fuc__L[e],12349,FAOXC122x
galacglcgalgbside_hs[e],230099,FAOXC123C102m
galfuc12gal14acglcgalgluside_hs[e],23831,FAOXC123C102x
galfucgalacglcgal14acglcgalgluside_hs[e],12353,FAOXC123m
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e],12346,FAOXC123x
galgalgalthcrm_hs[e],12351,FAOXC12C12OHm
gbside_hs[e],12354,FAOXC12DCc
gchola[e],12319,FAOXC12DCC10DCx
gd1b2_hs[e],71934,FAOXC12DCTc
gd1c_hs[e],27416,FAOXC12DCx
gdp[e],18173,FAOXC13BRC11BRx
gluala[e],20504,FAOXC13C11m
glyc__S[e],22782,FAOXC140
glygn5[e],224674,FAOXC140120m
gmp[e],11666,FAOXC140120x
gp1c_hs[e],19299,FAOXC141C121m
gp1calpha_hs[e],217700,FAOXC141C121x
gq1b_hs[e],67115,FAOXC141C141OHm
gq1balpha_hs[e],94352,FAOXC142C122m
gsn[e],72562,FAOXC142C122x
gt1a_hs[e],29859,FAOXC142C142OHm
gthox[e],67328,FAOXC143C123m
gthrd[e],76113,FAOXC143C123x
gtp[e],71147,FAOXC14C14OHm
h2o2[e],234129,FAOXC14DCC12DCx
ha[e],12799,FAOXC150m
ha_pre1[e],107146,FAOXC15ATPx
hcoumarin[e],13120,FAOXC15BRC13BRx
hdca[e],13088,FAOXC15C13m
hdcea[e],13110,FAOXC15NADPx
hestratriol[e],81906,FAOXC15NADx
hexc[e],74134,FAOXC160
hista[e],631304,FAOXC160140m
hom__L[e],17228,FAOXC160140x
hpdca[e],109697,FAOXC16080m
hspg[e],232680,FAOXC16080x
htaxol[e],329093,FAOXC161802m
idp[e],74649,FAOXC16180m
imp[e],17229,FAOXC161C141m
inost[e],100503895,FAOXC161C141x
ksi[e],11421,FAOXC161C161OHm
ksi_deg1[e],16591,FAOXC162C142m
ksii_core2[e],56386,FAOXC162C162OHm
ksii_core4[e],22239,FAOXC163C142x
leuktrA4[e],18746,FAOXC163C143m
leuktrB4[e],18704,FAOXC163C164Gm
leuktrC4[e],240752,FAOXC163C164x
leuktrD4[e],18705,FAOXC163GC142m
leuktrE4[e],26378,FAOXC163Gm
leuktrF4[e],67460,FAOXC163x
lgnc[e],109857,FAOXC164C143m
limnen[e],28200,FAOXC164C143x
lipoate[e],320997,FAOXC164C163x
lneldc[e],13850,FAOXC164C165m
lnlc[e],74302,FAOXC164C165x
lnlnca[e],77116,FAOXC164GC163m
lnlncg[e],14780,FAOXC164m
lpchol_hs[e],104245,FAOXC164x
mag_hs[e],218756,FAOXC165C164m
meoh[e],233836,FAOXC165C164x
mercplaccys[e],20515,FAOXC16Brx
mthgxl[e],20516,FAOXC16C16OHm
n2m2nmasn[e],142681,FAOXC16DCC14DCx
nad[e],240332,FAOXC16DCr
nadp[e],15487,FAOXC16OHC16r
ncam[e],13167,FAOXC170150m
nifedipine[e],26874,FAOXC170m
no[e],225579,FAOXC180
npthl[e],94180,FAOXC180x
nrpphr[e],102680,FAOXC1811601m
nrpphrsf[e],56643,FAOXC1811602m_1
nrvnc[e],52466,FAOXC1811603m
o2s[e],12751,FAOXC181C161m
oagd3_hs[e],14080,FAOXC181C161x
oagt3_hs[e],66988,FAOXC181C181OHm
ocdca[e],102570,FAOXC182806m
ocdcea[e],18624,FAOXC18280m
octa[e],18174,FAOXC182C162m
omeprazole[e],53945,FAOXC182C182OHm
onpthl[e],11648,FAOXC183803m
paf_hs[e],17769,FAOXC183806m
pchol_hs[e],66194,FAOXC183806x
pe_hs[e],66171,FAOXC183C163Gm
peplys[e],226844,FAOXC183C163m
perillyl[e],66646,FAOXC18480m
pglyc_hs[e],108114,FAOXC18480x
pheacgln[e],18399,FAOXC184C163m
phllqne[e],19879,FAOXC184C163x
phyt[e],22598,FAOXC184C164m
prgstrn[e],234967,FAOXC184C164x
prostgd2[e],12638,FAOXC184m
prostge1[e],243328,FAOXC184x
prostge2[e],27404,FAOXC185C164m
prostgf2[e],26357,FAOXC185m
ps_hs[e],11828,FAOXC18C18OHm
ptdca[e],11832,FAOXC200180m
rbt[e],27410,FAOXC200180x
retfa[e],11304,FAOXC201C181x
retinol[e],109342,FAOXC2031836m
retinol_9_cis[e],230612,FAOXC204
retinol_cis_11[e],246787,FAOXC204184m
retn[e],241612,FAOXC204C184m
retnglc[e],52710,FAOXC204C205x
Rtotal[e],16523,FAOXC2051843m
Rtotal2[e],20927,FAOXC2051843x
Rtotal3[e],20928,FAOXC205C184x
s2l2fn2m2masn[e],16514,FAOXC205C185m
s2l2n2m2masn[e],19662,FAOXC221C201x
sarcs[e],20897,FAOXC2242046m
sl__L[e],19659,FAOXC2242046x
spc_hs[e],19660,FAOXC2251836m
sph1p[e],20778,FAOXC2251836x
sphs1p[e],237636,FAOXC2252053m
srtn[e],15446,FAOXC2252053x
strdnc[e],74442,FAOXC225C204m
tag_hs[e],74182,FAOXC225C204x
tag__D[e],64602,FAOXC225C226m
taxol[e],78801,FAOXC225C226x
tchola[e],11636,FAOXC225m
tcynt[e],11566,FAOXC225x
tdchola[e],11565,FAOXC226
tethex3[e],114863,FAOXC226205m
tetpent3[e],11846,FAOXC226205x
tetpent6[e],12892,FAOXC226C205m
tettet6[e],51797,FAOXC226C225m
thf[e],55936,FAOXC226C225x
thmmp[e],14923,FAOXC226C227m
thmtp[e],110391,FAOXC226m
thym[e],14593,FAOXC227C226m
thyox__L[e],433182,FAOXC22C20x
tmndnc[e],13806,FAOXC22C22DCHYr
tolbutamide[e],13808,FAOXC22OHC22r
triodthy[e],13807,FAOXC240200x_1
triodthysuf[e],15203,FAOXC241181x
tststerone[e],319945,FAOXC241C221x
tststeroneglc[e],216558,FAOXC2442246x
tststerones[e],14433,FAOXC2452253x
tsul[e],100042025,FAOXC2452256x
ttdca[e],14447,FAOXC246226x
txa2[e],14583,FAOXC24C22x
tymsf[e],14584,FAOXC260240x_1
Tyr_ggn[e],14645,FAOXC3DC
udp[e],266744,FAOXC4020m
ump[e],13479,FAOXC4C4DCc
urate[e],218138,FAOXC5C3x
utp[e],14528,FAOXC5C5DCc
vacc[e],12350,FAOXC5OHc
vitd3[e],11826,FAOXC61C4m
whddca[e],11829,FAOXC61C4x
whhdca[e],17339,FAOXC61m
whtststerone[e],11827,FAOXC61x
whttdca[e],11830,FAOXC6C4m
xolest_hs[e],15288,FAOXC6C4x
xolest2_hs[e],12035,FAOXC6DCC4DCx
xoltri24[e],23917,FAOXC7C5m
xoltri25[e],23918,FAOXC80
xoltri27[e],12215,FAOXC81C61m
xylt[e],110119,FAOXC81C61x
gtocophe[e],665563,FAOXC8C6m
f1a[g],192185,FAOXC8C6x
f1a[l],110895,FAOXC8DCC6DCx
fuc1p__L[c],277973,FAOXC9C7m
gdpfuc[c],14751,FAOXMC10OHMC10r
ttdca[c],18655,FAOXOHC16C16DCc
tdcoa[c],338366,FAOXOHC22C22DCc
ptdca[c],18663,FAOXOHMC10DC10c
ptdcacoa[c],72157,FAOXTC101TC102m
hdca[c],66681,FAOXTC102C101m
hpdca[c],29858,FAOXTC122m
hpdcacoa[c],54128,FAOXTC122TC101m
ocdca[c],17025,FAOXTC142TC122m
vacc[c],66812,FAOXTC162TC142m
ocdcea[c],106564,FAOXTC182TC162m
lnlc[c],56189,FAS100COA
lneldc[c],246049,FAS120COA
lnlncg[c],75456,FAS140COA
lnlnca[c],19139,FAS160COA
strdnc[c],110639,FAS180COA
pristcoa[c],107272,FAS80COA_L
tmndnc[c],100678,FATP1t
phyt[c],54391,FATP2t
phytcoa[c],21351,FATP3t
lgnc[c],208967,FATP4t
ttccoa[c],21881,FATP5t
nrvnc[c],74419,FATP6t
nrvnccoa[c],83553,FATP7t
tettet6[c],29807,FATP8t
tettet6coa[c],21991,FATP9t
tetpent6[c],74246,FBA
tetpent6coa[c],107652,FBA2
tetpent3[c],227620,FBA4
tethex3[c],22276,FBA5
hexc[c],108052,FBP
hexccoa[c],27411,FBP26
octa[c],104816,FCLTm
occoa[c],107476,FDH
malcoa[c],78914,FE2DMT1
ddca[c],11534,FE2utm
whddca[c],69519,FE3R2e_1
whttdca[c],75572,FE3t
whhdca[c],66204,FEROc
fald[c],245847,FK
Sfglutth[c],108147,FKYNH
fald[l],109900,FMNAT
tdcoa[m],69634,FOAXC122C101x
